frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.532116	0.803711	0.509004	0.451123	0.468731	0.142423	0.190982	0.196523	0.177946	0	0
1	0.013812	0.035718	0.531462	0.803713	0.510713	0.447086	0.468724	0.142537	0.191188	0.196711	0.177757	0	1
2	0.013812	0.013812	0.530931	0.803056	0.508079	0.4483	0.468335	0.142509	0.191286	0.196776	0.178101	0	2
3	0.028115	0.840242	0.57758	0.823609	0.531104	0.484959	0.551888	0.145154	0.193719	0.199131	0.179722	2.377987	3
4	0.028115	0.028115	0.597643	0.823541	0.528061	0.518927	0.586696	0.144916	0.193647	0.198757	0.179909	4.270325	4
5	0.076768	0.076768	0.589584	0.822298	0.531001	0.476124	0.595157	0.146648	0.195048	0.199701	0.181092	3.421091	5
6	0.014447	1.027831	0.580345	0.831625	0.518381	0.519929	0.534844	0.147414	0.198	0.203705	0.18397	2.279415	6
7	0.014447	0.014447	0.566876	0.831456	0.521305	0.51814	0.493911	0.147401	0.197985	0.203695	0.18376	1.044885	7
8	0.039294	0.039294	0.54932	0.831982	0.518484	0.518862	0.44217	0.146881	0.197571	0.203717	0.183305	0	8
9	0.058901	0.943761	0.531014	0.827313	0.512497	0.511023	0.401043	0.152855	0.202926	0.207284	0.187124	0	9
10	0.046627	0.058901	0.578088	0.826972	0.512803	0.51205	0.541407	0.15292	0.203162	0.207818	0.187352	1.671369	10
11	0.046627	0.046627	0.537621	0.827216	0.516654	0.504662	0.423093	0.15302	0.203474	0.207819	0.187024	0	11
12	0.047422	1.215016	0.55369	0.823357	0.519243	0.47601	0.492252	0.145706	0.19879	0.205555	0.1896	0	12
13	0.014321	0.047422	0.553621	0.82303	0.526875	0.484143	0.480345	0.146069	0.198974	0.205949	0.189606	0	13
14	0.014321	0.014321	0.563929	0.8232	0.522677	0.483565	0.515017	0.145928	0.198726	0.205818	0.189337	0.693644	14
15	0.016452	1.323092	0.528046	0.822755	0.512019	0.486043	0.414933	0.150235	0.200885	0.206756	0.186711	0	15
16	0.016452	0.016452	0.528133	0.822775	0.512956	0.485656	0.414861	0.150061	0.200792	0.206746	0.186738	0	16
17	0.056198	0.056198	0.52943	0.823112	0.514026	0.488136	0.415779	0.151302	0.201693	0.207189	0.187156	0	17
18	0.018962	1.225329	0.586195	0.822583	0.520322	0.511714	0.561689	0.145836	0.196754	0.202548	0.184667	2.929612	18
19	0.018962	0.018962	0.590213	0.822513	0.520431	0.533547	0.556282	0.145923	0.196759	0.202826	0.18551	3.29793	19
20	0.044999	0.044999	0.589002	0.822186	0.520479	0.531334	0.554527	0.145577	0.196737	0.202502	0.184534	3.213319	20
21	0.037165	1.250327	0.542329	0.815923	0.527441	0.513825	0.425177	0.152068	0.202518	0.208015	0.190174	0	21
22	0.037165	0.037165	0.557866	0.815947	0.527828	0.536958	0.453671	0.151632	0.202088	0.20781	0.189874	0	22
23	0.038487	0.038487	0.548545	0.815831	0.527318	0.537001	0.425612	0.151779	0.202254	0.207705	0.189177	0	23
24	0.033554	1.171618	0.543267	0.815553	0.516061	0.492588	0.452804	0.146973	0.198891	0.205659	0.189107	0	24
25	0.008744	0.033554	0.529458	0.815608	0.515337	0.487844	0.414918	0.147173	0.19869	0.205111	0.188908	0	25
26	0.008744	0.008744	0.531277	0.815004	0.515382	0.495001	0.414969	0.147177	0.19884	0.205433	0.188962	0	26
27	0.021458	1.587242	0.521906	0.84562	0.561324	0.452339	0.383637	0.153622	0.20177	0.206606	0.186986	0	27
28	0.021458	0.021458	0.521041	0.845039	0.559261	0.45207	0.382923	0.153334	0.201477	0.206413	0.187457	0	28
29	0.063604	0.063604	0.52439	0.84615	0.56131	0.469678	0.377231	0.154216	0.201844	0.206441	0.186315	0	29
30	0.018616	1.206329	0.569417	0.837287	0.56195	0.449292	0.524319	0.152349	0.202501	0.207566	0.188542	0.895595	30
31	0.018616	0.018616	0.576668	0.83737	0.56211	0.443731	0.549826	0.15235	0.202453	0.207813	0.187801	1.56382	31
32	0.043125	0.043125	0.575661	0.838216	0.561564	0.447452	0.543883	0.151933	0.202011	0.207475	0.187864	1.516942	32
33	0.030834	1.111681	0.595457	0.836526	0.543673	0.533803	0.548814	0.156804	0.205014	0.208755	0.187022	3.147354	33
34	0.030834	0.030834	0.575058	0.836251	0.544647	0.541241	0.482449	0.156572	0.204808	0.208078	0.186741	1.252261	34
35	0.034154	0.034154	0.581163	0.836584	0.542194	0.563195	0.484782	0.156735	0.204762	0.208292	0.186329	1.819189	35
36	0.051498	1.449602	0.534193	0.839199	0.563825	0.457203	0.414917	0.143538	0.192414	0.196858	0.178398	0	36
37	0.013617	0.051498	0.538884	0.839278	0.556554	0.477821	0.417217	0.14371	0.192176	0.196773	0.17803	0	37
38	0.013617	0.013617	0.537821	0.839654	0.556805	0.477638	0.41388	0.14366	0.192161	0.196718	0.178098	0	38
39	0.020383	1.529591	0.583067	0.835286	0.537588	0.489948	0.554155	0.150235	0.198201	0.202473	0.181488	2.524234	39
40	0.020383	0.020383	0.566506	0.835757	0.537106	0.488711	0.506921	0.149971	0.198034	0.202534	0.181983	1.01027	40
41	0.046216	0.046216	0.579159	0.835733	0.539328	0.478251	0.550439	0.15059	0.198412	0.202789	0.181604	2.152977	41
42	0.016364	1.102971	0.537724	0.822521	0.51983	0.469554	0.450239	0.149596	0.199354	0.203828	0.182554	0	42
43	0.016364	0.016364	0.534836	0.822748	0.522905	0.458532	0.448142	0.149658	0.199457	0.2039	0.182314	0	43
44	0.043615	0.043615	0.571633	0.823449	0.518243	0.468247	0.553381	0.14899	0.199178	0.203963	0.183231	1.41231	44
