frame	n	Y	U	V	All
0	1	0.828586	0.966729	0.970995	0.875345
1	2	0.828678	0.966764	0.97108	0.875426
2	3	0.828667	0.96681	0.97108	0.875426
3	4	0.829826	0.966203	0.970385	0.875982
4	5	0.829721	0.966056	0.970311	0.875875
5	6	0.831102	0.966402	0.970538	0.876891
6	7	0.826804	0.966377	0.969864	0.87391
7	8	0.826854	0.966454	0.96984	0.873952
8	9	0.826703	0.966375	0.969749	0.873823
9	10	0.829568	0.968327	0.971731	0.876389
10	11	0.829652	0.968384	0.97174	0.876455
11	12	0.829582	0.968366	0.971751	0.876408
12	13	0.822294	0.965457	0.967531	0.870361
13	14	0.822682	0.965623	0.967565	0.870653
14	15	0.822673	0.965602	0.967563	0.870643
15	16	0.829754	0.968258	0.970794	0.876345
16	17	0.829627	0.968146	0.970712	0.876228
17	18	0.830204	0.968357	0.970759	0.876655
18	19	0.83277	0.966553	0.969191	0.877804
19	20	0.832812	0.966547	0.969212	0.877834
20	21	0.832647	0.966351	0.969183	0.877687
21	22	0.838866	0.969128	0.971736	0.882721
22	23	0.838803	0.969136	0.971768	0.882686
23	24	0.838786	0.969208	0.971812	0.882694
24	25	0.833524	0.968481	0.970786	0.878893
25	26	0.833782	0.968626	0.970936	0.879115
26	27	0.833796	0.968637	0.970929	0.879125
27	28	0.836086	0.969725	0.971715	0.880964
28	29	0.835893	0.969612	0.971624	0.880801
29	30	0.836728	0.969869	0.971806	0.881431
30	31	0.832845	0.969112	0.970497	0.878498
31	32	0.832869	0.969108	0.970484	0.878511
32	33	0.832723	0.96906	0.97039	0.87839
33	34	0.836288	0.970305	0.972193	0.881275
34	35	0.836299	0.970327	0.972161	0.881281
35	36	0.836256	0.970414	0.972165	0.881267
36	37	0.829564	0.965996	0.967948	0.875366
37	38	0.82969	0.966116	0.968004	0.87548
38	39	0.829613	0.966123	0.968005	0.87543
39	40	0.835047	0.969942	0.971738	0.880311
40	41	0.834919	0.96987	0.971686	0.880205
41	42	0.8353	0.970012	0.971791	0.8805
42	43	0.836594	0.968346	0.970122	0.880807
43	44	0.836662	0.968366	0.970126	0.880857
44	45	0.836289	0.968206	0.970073	0.880572
45	46	0.839449	0.970544	0.972359	0.883449
46	47	0.839446	0.970524	0.972374	0.883447
47	48	0.839477	0.970505	0.972312	0.883455
48	49	0.832399	0.968494	0.970573	0.87811
49	50	0.832537	0.968533	0.970722	0.878234
50	51	0.832465	0.968508	0.970711	0.87818
51	52	0.835777	0.970566	0.972357	0.881005
52	53	0.835611	0.970527	0.972275	0.880874
53	54	0.836197	0.970763	0.972476	0.881337
54	55	0.831143	0.96993	0.972112	0.877769
55	56	0.83117	0.969932	0.972135	0.877791
56	57	0.830939	0.96987	0.972076	0.877617
57	58	0.831741	0.970276	0.972402	0.878274
58	59	0.831773	0.97023	0.972412	0.878289
59	60	0.831794	0.970279	0.972444	0.878316
