frame	n	Y	U	V	All
132	133	0.493682	0.819098	0.841435	0.605877
133	134	0.493982	0.819068	0.841608	0.606101
134	135	0.493929	0.819004	0.84162	0.606057
135	136	0.48949	0.819501	0.843027	0.603415
136	137	0.489377	0.819495	0.843033	0.603339
137	138	0.48984	0.819594	0.84308	0.603672
138	139	0.490856	0.819111	0.841103	0.60394
139	140	0.490849	0.819142	0.841133	0.603945
140	141	0.490774	0.819145	0.841058	0.603883
141	142	0.48786	0.820816	0.843144	0.602567
142	143	0.487797	0.820873	0.843088	0.602525
143	144	0.487819	0.820782	0.843194	0.602542
144	145	0.4895	0.8183	0.841278	0.60293
145	146	0.48958	0.818352	0.84121	0.602981
146	147	0.489532	0.818402	0.841173	0.60295
147	148	0.486991	0.812951	0.836874	0.599632
148	149	0.486966	0.812894	0.836874	0.599605
149	150	0.487233	0.813032	0.836966	0.599822
150	151	0.498886	0.817666	0.84061	0.60897
151	152	0.498945	0.817652	0.840587	0.609003
152	153	0.498639	0.817631	0.84051	0.608783
153	154	0.499845	0.818959	0.843053	0.610232
154	155	0.499811	0.819023	0.843031	0.610217
155	156	0.499829	0.819067	0.842957	0.610223
156	157	0.495883	0.816388	0.840397	0.606719
157	158	0.496304	0.816425	0.84058	0.607037
158	159	0.496273	0.816431	0.840562	0.607014
159	160	0.493548	0.818503	0.842707	0.6059
160	161	0.493518	0.818487	0.842766	0.605887
161	162	0.494237	0.818628	0.842976	0.606426
162	163	0.495401	0.819319	0.842185	0.607185
163	164	0.495461	0.819264	0.842196	0.607217
164	165	0.495324	0.819317	0.842194	0.607134
165	166	0.494037	0.820917	0.845077	0.607024
166	167	0.494141	0.821019	0.845011	0.607099
167	168	0.493991	0.821002	0.845061	0.607004
168	169	0.492907	0.82003	0.84345	0.605851
169	170	0.493047	0.820097	0.843601	0.605981
170	171	0.493023	0.820146	0.843572	0.605968
171	172	0.499564	0.820437	0.845023	0.61062
172	173	0.499497	0.820441	0.844887	0.610552
173	174	0.500323	0.820469	0.844991	0.611125
