frame	n	Y	U	V	All
0	1	0.547559	0.82386	0.844712	0.643135
1	2	0.547603	0.823857	0.844563	0.643139
2	3	0.547611	0.823852	0.844497	0.643132
3	4	0.556287	0.823805	0.843721	0.648779
4	5	0.556183	0.82374	0.843691	0.648694
5	6	0.557745	0.823864	0.844071	0.649819
6	7	0.564747	0.822208	0.842812	0.654001
7	8	0.564779	0.822214	0.84281	0.654023
8	9	0.564631	0.822277	0.842809	0.653935
9	10	0.565755	0.82325	0.843872	0.655024
10	11	0.565761	0.823273	0.84386	0.65503
11	12	0.565764	0.82319	0.84373	0.654996
12	13	0.56412	0.820142	0.84054	0.65286
13	14	0.564428	0.820222	0.840741	0.653113
14	15	0.564449	0.820234	0.840719	0.653124
15	16	0.557806	0.821538	0.842541	0.649217
16	17	0.557656	0.821445	0.842463	0.649088
17	18	0.558167	0.821587	0.84255	0.649467
18	19	0.55868	0.817245	0.840689	0.648776
19	20	0.558682	0.817241	0.840722	0.648782
20	21	0.55866	0.81719	0.840659	0.648748
21	22	0.556636	0.820366	0.841548	0.648077
22	23	0.55657	0.820276	0.841564	0.64802
23	24	0.556569	0.820321	0.841638	0.648039
24	25	0.557569	0.817718	0.838134	0.647688
25	26	0.557723	0.817786	0.838259	0.647823
26	27	0.55775	0.817811	0.838284	0.647849
27	28	0.560968	0.820019	0.841578	0.650912
28	29	0.560846	0.820077	0.841524	0.650831
29	30	0.561809	0.820177	0.84167	0.651514
30	31	0.565735	0.818187	0.838687	0.653302
31	32	0.56575	0.818165	0.838677	0.653307
32	33	0.565521	0.818089	0.838587	0.653127
33	34	0.565347	0.820976	0.84086	0.653871
34	35	0.565331	0.820966	0.840854	0.653858
35	36	0.565358	0.820983	0.840844	0.653877
36	37	0.564637	0.816048	0.837665	0.652044
37	38	0.564782	0.816105	0.837848	0.65218
38	39	0.564788	0.816156	0.83784	0.652191
39	40	0.560853	0.820096	0.840535	0.650674
40	41	0.56074	0.820047	0.840387	0.650565
41	42	0.561087	0.820062	0.84051	0.65082
42	43	0.561927	0.817626	0.837496	0.650472
43	44	0.561929	0.817583	0.837556	0.650476
44	45	0.561661	0.817532	0.837475	0.650275
45	46	0.559248	0.821149	0.840781	0.649821
46	47	0.559226	0.821162	0.840866	0.649822
47	48	0.559286	0.821136	0.840848	0.649855
48	49	0.558876	0.817384	0.838818	0.648618
49	50	0.558945	0.817424	0.838938	0.64869
50	51	0.558931	0.817405	0.838932	0.648677
51	52	0.563698	0.820689	0.84064	0.652687
52	53	0.563496	0.820629	0.840555	0.652528
53	54	0.564079	0.820798	0.840748	0.652977
54	55	0.564182	0.819364	0.84068	0.652795
55	56	0.564171	0.819291	0.840755	0.652788
56	57	0.563928	0.819283	0.840574	0.652595
57	58	0.561639	0.821778	0.842452	0.651797
58	59	0.561631	0.821875	0.84241	0.651802
59	60	0.561647	0.822079	0.842391	0.651843
60	61	0.56049	0.820101	0.839495	0.65026
61	62	0.560565	0.820238	0.839637	0.650356
62	63	0.560505	0.820287	0.839644	0.650325
63	64	0.555477	0.821361	0.841707	0.647496
64	65	0.555346	0.821378	0.841622	0.647397
65	66	0.555608	0.821468	0.841874	0.647629
66	67	0.554191	0.818406	0.838922	0.645682
67	68	0.554202	0.81844	0.838932	0.645697
68	69	0.554076	0.818359	0.838782	0.645574
69	70	0.551263	0.820727	0.841961	0.644623
70	71	0.551306	0.820717	0.84201	0.644659
71	72	0.55127	0.820774	0.841899	0.644625
72	73	0.55056	0.818421	0.840132	0.643465
73	74	0.550651	0.818521	0.840353	0.643579
74	75	0.550656	0.81857	0.840417	0.643602
75	76	0.559545	0.821065	0.841256	0.650084
76	77	0.559448	0.82108	0.841235	0.650018
77	78	0.56008	0.821233	0.841499	0.650509
78	79	0.562115	0.820281	0.840236	0.651496
79	80	0.562065	0.820283	0.840302	0.651474
80	81	0.561803	0.820262	0.840236	0.651285
81	82	0.561943	0.822456	0.841966	0.652032
82	83	0.561992	0.822507	0.841944	0.65207
83	84	0.562021	0.822461	0.841963	0.652085
84	85	0.561287	0.820369	0.840606	0.65102
85	86	0.561515	0.820489	0.840652	0.6512
86	87	0.561509	0.820525	0.840664	0.651204
87	88	0.557786	0.822065	0.841736	0.649158
88	89	0.557592	0.822066	0.841654	0.649015
89	90	0.558143	0.822112	0.841658	0.64939
90	91	0.557317	0.815363	0.834894	0.646588
91	92	0.557354	0.815405	0.834938	0.646627
92	93	0.557084	0.815242	0.834913	0.646415
93	94	0.557853	0.822858	0.842488	0.64946
94	95	0.557855	0.822924	0.842575	0.649486
95	96	0.55789	0.822913	0.842627	0.649517
96	97	0.555552	0.820938	0.841064	0.647369
97	98	0.555741	0.820944	0.841142	0.647508
98	99	0.555727	0.82096	0.841086	0.647492
99	100	0.563153	0.822814	0.842205	0.652939
100	101	0.562998	0.822779	0.842133	0.652817
101	102	0.56377	0.822985	0.842308	0.653395
102	103	0.566138	0.820993	0.840289	0.654306
103	104	0.566125	0.820998	0.8403	0.6543
104	105	0.56596	0.820916	0.840146	0.654151
105	106	0.566015	0.822646	0.842536	0.654874
106	107	0.566032	0.822589	0.842588	0.654884
107	108	0.565924	0.82247	0.842602	0.654794
108	109	0.562822	0.820274	0.840651	0.652035
109	110	0.563014	0.820275	0.840699	0.652172
110	111	0.563023	0.82024	0.840656	0.652165
111	112	0.559749	0.820792	0.840316	0.650017
112	113	0.559622	0.820778	0.840245	0.649918
113	114	0.560016	0.820855	0.84031	0.650205
114	115	0.559162	0.819058	0.838019	0.648954
115	116	0.559127	0.818989	0.838024	0.64892
116	117	0.558974	0.819074	0.837903	0.648812
117	118	0.558442	0.821445	0.841319	0.649422
118	119	0.558358	0.821368	0.841281	0.649347
119	120	0.558363	0.82142	0.841332	0.649367
120	121	0.557649	0.819669	0.839534	0.6483
121	122	0.557853	0.819664	0.83978	0.648476
122	123	0.557874	0.819713	0.839736	0.648491
123	124	0.568016	0.822937	0.842527	0.656255
124	125	0.567871	0.822871	0.842438	0.656132
125	126	0.568708	0.823046	0.842616	0.656749
126	127	0.571391	0.820755	0.839575	0.657649
127	128	0.571399	0.82074	0.839538	0.657646
128	129	0.571125	0.820753	0.839376	0.657438
129	130	0.572685	0.823971	0.842276	0.659498
130	131	0.57273	0.823977	0.842388	0.659547
131	132	0.572696	0.823999	0.842327	0.659518
132	133	0.568496	0.821794	0.839774	0.655926
133	134	0.568684	0.821929	0.839856	0.656087
134	135	0.568661	0.82183	0.839832	0.656051
135	136	0.563425	0.823529	0.84179	0.65317
136	137	0.563274	0.823485	0.841776	0.65306
137	138	0.563684	0.823555	0.841961	0.653375
138	139	0.565246	0.819124	0.837753	0.652977
139	140	0.565306	0.819151	0.837755	0.653022
140	141	0.565123	0.819025	0.837587	0.652851
141	142	0.563214	0.822583	0.841237	0.652779
142	143	0.563209	0.822596	0.841396	0.652805
143	144	0.563286	0.822567	0.841345	0.652843
144	145	0.563389	0.817577	0.838668	0.651634
145	146	0.563672	0.817709	0.838708	0.651851
146	147	0.563603	0.817688	0.838722	0.651804
147	148	0.572155	0.821569	0.840836	0.658504
148	149	0.571985	0.821492	0.840768	0.658367
149	150	0.572822	0.821686	0.84097	0.658991
150	151	0.574609	0.819319	0.838904	0.659444
151	152	0.574609	0.819276	0.838891	0.659434
152	153	0.574282	0.819238	0.838873	0.659207
153	154	0.571935	0.821516	0.841497	0.658459
154	155	0.57188	0.821448	0.841489	0.65841
155	156	0.571886	0.821363	0.841551	0.65841
156	157	0.56836	0.81989	0.83915	0.655413
157	158	0.568626	0.819871	0.839345	0.65562
158	159	0.568629	0.81994	0.839318	0.655629
159	160	0.566537	0.821576	0.840499	0.654704
160	161	0.566432	0.821576	0.840461	0.654627
161	162	0.566792	0.821717	0.840608	0.654916
162	163	0.567076	0.819127	0.837015	0.654074
163	164	0.567125	0.819146	0.837085	0.654122
164	165	0.566933	0.819221	0.837059	0.654002
165	166	0.565114	0.822033	0.84019	0.65378
166	167	0.565168	0.821935	0.840169	0.653796
167	168	0.565132	0.821973	0.840095	0.653766
168	169	0.563315	0.818681	0.83803	0.651662
169	170	0.563583	0.818686	0.838123	0.651857
170	171	0.563595	0.8187	0.838123	0.651867
171	172	0.571123	0.820313	0.839841	0.657441
172	173	0.570854	0.820357	0.839791	0.657261
173	174	0.571758	0.820493	0.839877	0.6579
174	175	0.573743	0.818666	0.838645	0.658714
175	176	0.573756	0.818693	0.838659	0.65873
176	177	0.57348	0.818679	0.83862	0.658537
177	178	0.571463	0.820574	0.840322	0.657791
178	179	0.571521	0.820696	0.840252	0.657839
179	180	0.571524	0.820733	0.840403	0.657872
180	181	0.567781	0.815792	0.835744	0.653776
181	182	0.568062	0.815898	0.835827	0.653995
182	183	0.567989	0.815918	0.835815	0.653948
183	184	0.563145	0.819371	0.838772	0.651787
184	185	0.563012	0.819362	0.838683	0.651682
185	186	0.563397	0.819402	0.838787	0.651963
186	187	0.563497	0.815087	0.834015	0.650515
187	188	0.563546	0.815119	0.834038	0.650557
188	189	0.563464	0.815087	0.834094	0.650506
189	190	0.561791	0.819185	0.837317	0.650611
190	191	0.561711	0.819155	0.837321	0.650553
191	192	0.561693	0.819195	0.837302	0.650545
192	193	0.560197	0.816905	0.835543	0.648873
193	194	0.560393	0.816972	0.83566	0.649034
194	195	0.560368	0.817037	0.835633	0.649024
195	196	0.566628	0.81893	0.838169	0.653935
196	197	0.566417	0.818856	0.838066	0.653765
197	198	0.567341	0.818894	0.838389	0.654441
198	199	0.568483	0.817472	0.837073	0.654746
199	200	0.568471	0.817448	0.837108	0.65474
200	201	0.568222	0.81758	0.837045	0.654585
201	202	0.569849	0.819647	0.83985	0.656483
202	203	0.569742	0.81967	0.839771	0.656401
203	204	0.56985	0.819633	0.839834	0.656478
204	205	0.566768	0.81746	0.837556	0.653681
205	206	0.567021	0.817437	0.837623	0.653857
206	207	0.567008	0.817448	0.837658	0.653857
207	208	0.563809	0.819005	0.839402	0.652274
208	209	0.563674	0.818974	0.839277	0.652158
209	210	0.564165	0.819029	0.839376	0.652511
210	211	0.563052	0.817024	0.836462	0.650949
211	212	0.563061	0.81702	0.836502	0.650961
212	213	0.562934	0.817113	0.836356	0.650868
213	214	0.562863	0.818643	0.838724	0.65147
214	215	0.562885	0.818715	0.838785	0.651507
215	216	0.56288	0.818689	0.838804	0.651502
216	217	0.561135	0.815319	0.835537	0.649232
217	218	0.561345	0.815521	0.835682	0.64943
218	219	0.561357	0.815511	0.835675	0.649436
219	220	0.570751	0.818118	0.840729	0.656975
220	221	0.570603	0.818129	0.840649	0.656865
221	222	0.571567	0.818297	0.841007	0.657595
222	223	0.571755	0.816967	0.839286	0.657212
223	224	0.571776	0.816978	0.839268	0.657225
224	225	0.57144	0.817012	0.839109	0.65698
225	226	0.570068	0.818412	0.841215	0.65665
226	227	0.570015	0.818434	0.841163	0.656609
227	228	0.570002	0.818424	0.841223	0.656609
228	229	0.565866	0.816748	0.839943	0.653359
229	230	0.566154	0.816859	0.839988	0.653577
230	231	0.566141	0.816894	0.840015	0.653579
231	232	0.564505	0.817352	0.84165	0.652837
232	233	0.564315	0.817398	0.841588	0.652708
233	234	0.564857	0.81748	0.841684	0.653099
234	235	0.565142	0.814629	0.839507	0.652451
