frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.496631	0.812018	0.516338	0.420347	0.376363	0.137862	0.186132	0.193035	0.178139	0	0
1	0.013812	0.035718	0.495901	0.812434	0.516505	0.415977	0.377234	0.138088	0.186345	0.193551	0.178068	0	1
2	0.013812	0.013812	0.519529	0.81199	0.525202	0.420706	0.439077	0.137992	0.186284	0.193569	0.178525	0	2
3	0.028115	0.840242	0.496712	0.830591	0.528845	0.461715	0.328246	0.141398	0.190216	0.197121	0.180337	0	3
4	0.028115	0.028115	0.505515	0.829912	0.529206	0.457233	0.358018	0.14114	0.190172	0.19711	0.18106	0	4
5	0.076768	0.076768	0.520772	0.829927	0.526222	0.438484	0.419881	0.142977	0.191675	0.198135	0.181585	0	5
6	0.014447	1.027831	0.507292	0.833164	0.534017	0.489032	0.328676	0.142661	0.192845	0.19962	0.184379	0	6
7	0.014447	0.014447	0.50012	0.832325	0.536174	0.462854	0.327116	0.142576	0.192735	0.199341	0.183607	0	7
8	0.039294	0.039294	0.501444	0.832899	0.536761	0.462938	0.330399	0.142089	0.192463	0.199508	0.183461	0	8
9	0.058901	0.943761	0.496931	0.834924	0.511939	0.442014	0.349938	0.149127	0.199059	0.204866	0.188273	0	9
10	0.046627	0.058901	0.498637	0.834728	0.516017	0.440999	0.353089	0.14913	0.199362	0.205438	0.188328	0	10
11	0.046627	0.046627	0.492051	0.834863	0.517139	0.445378	0.329038	0.149073	0.199076	0.205172	0.189053	0	11
12	0.047422	1.215016	0.503295	0.827171	0.534047	0.437168	0.35791	0.14438	0.197369	0.204078	0.189457	0	12
13	0.014321	0.047422	0.506254	0.82629	0.533315	0.446626	0.360157	0.144903	0.197815	0.204788	0.18996	0	13
14	0.014321	0.014321	0.502012	0.826129	0.534582	0.437861	0.353524	0.144879	0.197709	0.204711	0.189873	0	14
15	0.016452	1.323092	0.507985	0.828701	0.521445	0.471801	0.356622	0.148199	0.198975	0.205798	0.1882	0	15
16	0.016452	0.016452	0.503053	0.828969	0.52177	0.466455	0.345724	0.147922	0.198762	0.205881	0.188364	0	16
17	0.056198	0.056198	0.495793	0.8282	0.521795	0.454718	0.333524	0.149003	0.199546	0.20588	0.188894	0	17
18	0.018962	1.225329	0.519642	0.825378	0.519786	0.508208	0.359366	0.14557	0.196698	0.203275	0.187619	0	18
19	0.018962	0.018962	0.522101	0.825473	0.521212	0.526088	0.351371	0.145649	0.196758	0.203572	0.188485	0	19
20	0.044999	0.044999	0.517623	0.825965	0.52208	0.507637	0.351737	0.145228	0.196604	0.203601	0.187407	0	20
21	0.037165	1.250327	0.535925	0.821842	0.505415	0.513184	0.418294	0.14958	0.200219	0.207039	0.189742	0	21
22	0.037165	0.037165	0.518968	0.821983	0.506133	0.512739	0.365989	0.149248	0.200077	0.207028	0.189135	0	22
23	0.038487	0.038487	0.522832	0.821903	0.510138	0.502582	0.38345	0.149587	0.200412	0.207362	0.190088	0	23
24	0.033554	1.171618	0.541493	0.820503	0.515868	0.517119	0.42491	0.145202	0.197466	0.205242	0.188966	0	24
25	0.008744	0.033554	0.543321	0.820536	0.518523	0.518412	0.427588	0.145464	0.197391	0.205082	0.188598	0	25
26	0.008744	0.008744	0.537192	0.820622	0.518255	0.518543	0.408878	0.145393	0.197316	0.205006	0.188914	0	26
27	0.021458	1.587242	0.521389	0.854568	0.588444	0.47431	0.344	0.15181	0.200553	0.207403	0.18903	0	27
28	0.021458	0.021458	0.517171	0.854527	0.589947	0.45749	0.343907	0.151504	0.200272	0.207258	0.189281	0	28
29	0.063604	0.063604	0.516091	0.854458	0.587762	0.45922	0.340836	0.152502	0.200689	0.2073	0.18938	0	29
30	0.018616	1.206329	0.55797	0.852491	0.599739	0.513576	0.408838	0.150522	0.201605	0.208391	0.190861	0	30
31	0.018616	0.018616	0.556772	0.852452	0.593165	0.514156	0.408969	0.150521	0.201489	0.208385	0.190778	0	31
32	0.043125	0.043125	0.566789	0.85212	0.59417	0.538157	0.419289	0.150339	0.201381	0.208179	0.190309	0.728668	32
33	0.030834	1.111681	0.553958	0.844404	0.565437	0.433823	0.486255	0.154988	0.204906	0.210687	0.191879	0	33
34	0.030834	0.030834	0.554983	0.844282	0.56474	0.444815	0.481222	0.154808	0.204893	0.210279	0.191829	0	34
35	0.034154	0.034154	0.556447	0.844772	0.573768	0.438094	0.484769	0.154907	0.204716	0.210426	0.192024	0	35
36	0.051498	1.449602	0.544524	0.849299	0.558498	0.49797	0.411422	0.143884	0.194779	0.201554	0.186268	0	36
37	0.013617	0.051498	0.570286	0.848986	0.558147	0.493262	0.491568	0.144033	0.194611	0.201547	0.186081	1.596797	37
38	0.013617	0.013617	0.56644	0.848518	0.557956	0.48885	0.484068	0.143976	0.194613	0.201644	0.185732	1.247467	38
39	0.020383	1.529591	0.519365	0.840693	0.576638	0.463966	0.361228	0.149589	0.19951	0.206144	0.188024	0	39
40	0.020383	0.020383	0.549554	0.84054	0.573832	0.464138	0.450864	0.149292	0.199342	0.205758	0.188089	0	40
41	0.046216	0.046216	0.52179	0.840706	0.573983	0.459992	0.373017	0.149772	0.199537	0.205835	0.188541	0	41
42	0.016364	1.102971	0.546233	0.829086	0.540158	0.455192	0.470032	0.149782	0.201775	0.208121	0.190484	0	42
43	0.016364	0.016364	0.546035	0.828842	0.540736	0.454423	0.469794	0.149888	0.201812	0.208173	0.190173	0	43
44	0.043615	0.043615	0.5453	0.829867	0.542348	0.456529	0.464318	0.149181	0.201332	0.207716	0.190324	0	44
45	0.039671	1.102632	0.519232	0.834755	0.516228	0.504503	0.367695	0.151204	0.202355	0.208502	0.19138	0	45
46	0.038282	0.039671	0.520384	0.834968	0.5166	0.514149	0.363307	0.150902	0.202067	0.208346	0.190845	0	46
47	0.038282	0.038282	0.513051	0.834861	0.518897	0.500115	0.350926	0.151262	0.202521	0.208625	0.190558	0	47
48	0.030523	1.21019	0.52919	0.83883	0.551258	0.492458	0.379949	0.144701	0.19829	0.205655	0.190521	0	48
49	0.008761	0.030523	0.523042	0.837938	0.55368	0.489949	0.362539	0.145105	0.198454	0.20579	0.190044	0	49
50	0.008761	0.008761	0.523121	0.838554	0.552522	0.490331	0.362922	0.145086	0.198447	0.205813	0.190166	0	50
51	0.023541	1.485155	0.509299	0.851328	0.579765	0.469644	0.326683	0.150754	0.199837	0.205793	0.189153	0	51
52	0.023541	0.023541	0.511309	0.851916	0.577378	0.471757	0.331992	0.150325	0.199788	0.205948	0.188473	0	52
53	0.062282	0.062282	0.515278	0.853601	0.577975	0.468147	0.344531	0.151064	0.19997	0.20607	0.189167	0	53
54	0.017265	1.065927	0.544232	0.842258	0.573169	0.497615	0.407739	0.148556	0.200963	0.208149	0.191964	0	54
55	0.017265	0.017265	0.545854	0.842063	0.578222	0.499206	0.408226	0.148436	0.200791	0.207988	0.190953	0	55
56	0.043014	0.043014	0.541171	0.841136	0.568971	0.491768	0.406494	0.147667	0.200267	0.207876	0.191117	0	56
57	0.032509	0.9406	0.518989	0.839055	0.555613	0.433246	0.394951	0.149675	0.200801	0.207599	0.191161	0	57
58	0.032509	0.032509	0.524792	0.838689	0.557844	0.452922	0.395702	0.149635	0.20086	0.207427	0.191169	0	58
59	0.049514	0.049514	0.509132	0.839821	0.554267	0.448808	0.355236	0.14986	0.201002	0.207771	0.191273	0	59
60	0.039321	1.111789	0.510814	0.835844	0.552998	0.484956	0.331888	0.142838	0.19627	0.203523	0.189752	0	60
61	0.010291	0.039321	0.509106	0.836377	0.553574	0.477295	0.332004	0.143066	0.196094	0.203914	0.189927	0	61
62	0.010291	0.010291	0.52304	0.836609	0.555836	0.477312	0.371131	0.1431	0.196239	0.203954	0.189598	0	62
63	0.023833	1.25095	0.503259	0.831106	0.546914	0.474058	0.328323	0.145771	0.197724	0.20476	0.188063	0	63
64	0.023833	0.023833	0.507151	0.830988	0.547168	0.488326	0.329009	0.145449	0.197669	0.20449	0.187715	0	64
65	0.057853	0.057853	0.508794	0.831214	0.541428	0.478033	0.344759	0.146328	0.19796	0.204524	0.188161	0	65
66	0.019782	1.000765	0.510431	0.824503	0.534184	0.492645	0.340106	0.141508	0.19525	0.203475	0.187945	0	66
