frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.509248	0.819328	0.535062	0.438262	0.383312	0.142976	0.189938	0.195296	0.179489	0	0
1	0.013812	0.035718	0.509522	0.819134	0.532609	0.443828	0.381472	0.143133	0.190123	0.19563	0.179226	0	1
2	0.013812	0.013812	0.510255	0.819132	0.53649	0.443162	0.381497	0.14301	0.190185	0.195784	0.178979	0	2
3	0.028115	0.840242	0.54844	0.839435	0.581363	0.47647	0.430992	0.147264	0.194571	0.199495	0.180466	0	3
4	0.028115	0.028115	0.550988	0.839022	0.584439	0.486674	0.428758	0.146988	0.194516	0.199471	0.180969	0	4
5	0.076768	0.076768	0.543069	0.839281	0.578695	0.499507	0.398772	0.148756	0.195757	0.200564	0.181799	0	5
6	0.014447	1.027831	0.528262	0.841974	0.574838	0.432285	0.405311	0.148907	0.19774	0.20198	0.183378	0	6
7	0.014447	0.014447	0.553116	0.841634	0.574475	0.434086	0.479037	0.148896	0.197723	0.201814	0.183202	0	7
8	0.039294	0.039294	0.568054	0.841726	0.574221	0.427925	0.529037	0.14843	0.197399	0.202219	0.183428	1.212129	8
9	0.058901	0.943761	0.547086	0.837214	0.542012	0.534341	0.405629	0.155449	0.204215	0.206699	0.188004	0	9
10	0.046627	0.058901	0.563683	0.836306	0.537909	0.600643	0.405819	0.15525	0.204127	0.207397	0.188055	0.27747	10
11	0.046627	0.046627	0.582604	0.836381	0.539966	0.606969	0.456201	0.155467	0.204464	0.208007	0.188673	1.989902	11
12	0.047422	1.215016	0.538652	0.830251	0.552508	0.441472	0.447711	0.148922	0.200883	0.206693	0.190387	0	12
13	0.014321	0.047422	0.52935	0.829921	0.548413	0.441109	0.422605	0.149732	0.201738	0.207703	0.191116	0	13
14	0.014321	0.014321	0.514349	0.83008	0.550204	0.440382	0.37615	0.149693	0.201753	0.2075	0.191179	0	14
15	0.016452	1.323092	0.541533	0.83011	0.535863	0.493442	0.429586	0.153555	0.202837	0.207837	0.189147	0	15
16	0.016452	0.016452	0.54362	0.830138	0.549153	0.488052	0.431206	0.153194	0.202617	0.207813	0.189426	0	16
17	0.056198	0.056198	0.530955	0.829563	0.542167	0.454285	0.42494	0.154454	0.203599	0.20819	0.189507	0	17
18	0.018962	1.225329	0.518675	0.82709	0.540003	0.470313	0.372017	0.149321	0.19833	0.203948	0.185437	0	18
19	0.018962	0.018962	0.529924	0.827398	0.542084	0.466408	0.408056	0.14936	0.198245	0.203678	0.185335	0	19
20	0.044999	0.044999	0.514286	0.826653	0.541997	0.457028	0.368225	0.148913	0.198207	0.203819	0.185313	0	20
21	0.037165	1.250327	0.51333	0.824361	0.541489	0.47432	0.353807	0.156	0.206288	0.212332	0.192815	0	21
22	0.037165	0.037165	0.517319	0.824292	0.543076	0.475483	0.363891	0.155654	0.206035	0.212103	0.19274	0	22
23	0.038487	0.038487	0.515833	0.824127	0.54024	0.473767	0.362972	0.155585	0.205841	0.212039	0.193784	0	23
24	0.033554	1.171618	0.558387	0.823798	0.552971	0.507915	0.456445	0.151527	0.204762	0.21244	0.195772	0	24
25	0.008744	0.033554	0.549552	0.823191	0.546971	0.447051	0.483246	0.151945	0.204773	0.212493	0.195664	0	25
26	0.008744	0.008744	0.539154	0.822677	0.547199	0.444504	0.453652	0.151927	0.20481	0.212575	0.196192	0	26
27	0.021458	1.587242	0.554621	0.851191	0.583334	0.493042	0.430784	0.157922	0.207021	0.212502	0.192113	0	27
28	0.021458	0.021458	0.555386	0.852921	0.584788	0.493068	0.431225	0.157548	0.206571	0.212112	0.19232	0	28
29	0.063604	0.063604	0.555774	0.852617	0.585297	0.498608	0.42795	0.158628	0.207329	0.212359	0.191594	0	29
30	0.018616	1.206329	0.542176	0.849564	0.582484	0.476069	0.404007	0.155704	0.206945	0.213596	0.194621	0	30
31	0.018616	0.018616	0.544551	0.849578	0.577954	0.486651	0.405531	0.155595	0.206765	0.213498	0.19456	0	31
32	0.043125	0.043125	0.543767	0.848909	0.5833	0.481755	0.40414	0.155121	0.206382	0.213335	0.194805	0	32
33	0.030834	1.111681	0.53114	0.844455	0.558128	0.462224	0.401605	0.160576	0.210626	0.216928	0.19632	0	33
34	0.030834	0.030834	0.532271	0.844589	0.55827	0.469921	0.398759	0.160387	0.210552	0.216523	0.196183	0	34
35	0.034154	0.034154	0.531324	0.844489	0.559325	0.469662	0.395598	0.160562	0.210666	0.21653	0.195976	0	35
36	0.051498	1.449602	0.531177	0.850235	0.564481	0.484686	0.378184	0.147856	0.198813	0.206129	0.190488	0	36
37	0.013617	0.051498	0.531583	0.849822	0.561912	0.485058	0.381028	0.148111	0.198715	0.206156	0.190725	0	37
38	0.013617	0.013617	0.530578	0.850116	0.560175	0.482469	0.381066	0.148081	0.198699	0.206243	0.190266	0	38
39	0.020383	1.529591	0.540246	0.846	0.565175	0.469199	0.422523	0.154731	0.203878	0.210007	0.191693	0	39
40	0.020383	0.020383	0.540086	0.846295	0.564686	0.468513	0.422728	0.154434	0.20366	0.210193	0.192286	0	40
41	0.046216	0.046216	0.53988	0.847274	0.562535	0.466626	0.424445	0.15518	0.204178	0.210556	0.192577	0	41
42	0.016364	1.102971	0.530491	0.837183	0.553184	0.45375	0.411013	0.154107	0.205575	0.212502	0.192646	0	42
43	0.016364	0.016364	0.530359	0.837297	0.553288	0.454395	0.409973	0.154166	0.205618	0.212044	0.192043	0	43
44	0.043615	0.043615	0.525182	0.837575	0.549262	0.467292	0.386811	0.153194	0.204815	0.211514	0.192343	0	44
45	0.039671	1.102632	0.533778	0.843427	0.550619	0.45616	0.420854	0.156351	0.20668	0.212935	0.194103	0	45
46	0.038282	0.039671	0.539642	0.843508	0.549847	0.467682	0.42978	0.156428	0.206987	0.21337	0.194211	0	46
