frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.478698	0.811699	0.503365	0.359463	0.379774	0.14108	0.193548	0.201646	0.189512	0	0
1	0.013812	0.035718	0.472578	0.812187	0.494324	0.359297	0.367396	0.141239	0.193744	0.201977	0.189234	0	1
2	0.013812	0.013812	0.475282	0.812104	0.493834	0.363415	0.372677	0.14132	0.193999	0.202359	0.189606	0	2
3	0.028115	0.840242	0.529947	0.82902	0.525179	0.393974	0.483249	0.146216	0.199405	0.207951	0.192618	0	3
4	0.028115	0.028115	0.52859	0.828733	0.524561	0.390581	0.482465	0.146041	0.19953	0.207937	0.192539	0	4
5	0.076768	0.076768	0.542293	0.82937	0.523775	0.4043	0.512446	0.148017	0.20098	0.20874	0.193686	0	5
6	0.014447	1.027831	0.524898	0.829337	0.515695	0.392911	0.473021	0.148707	0.203296	0.210083	0.195227	0	6
7	0.014447	0.014447	0.526485	0.829619	0.519768	0.37712	0.487597	0.148724	0.203463	0.210208	0.194618	0	7
8	0.039294	0.039294	0.51955	0.829404	0.517546	0.373927	0.470912	0.148262	0.203349	0.210416	0.194771	0	8
9	0.058901	0.943761	0.508578	0.829624	0.518289	0.370619	0.440197	0.153325	0.207515	0.213624	0.196498	0	9
10	0.046627	0.058901	0.505045	0.829799	0.517518	0.371775	0.429025	0.153129	0.207582	0.213692	0.197259	0	10
11	0.046627	0.046627	0.507743	0.83	0.523506	0.37634	0.429356	0.15322	0.207612	0.213818	0.196598	0	11
12	0.047422	1.215016	0.550932	0.827883	0.514749	0.414662	0.534067	0.144989	0.200896	0.208548	0.196036	0	12
13	0.014321	0.047422	0.54515	0.826948	0.515208	0.412975	0.518015	0.145493	0.201176	0.209046	0.196125	0	13
14	0.014321	0.014321	0.546406	0.826974	0.513939	0.416541	0.519813	0.145444	0.201069	0.208685	0.196355	0	14
15	0.016452	1.323092	0.549782	0.832352	0.524015	0.409944	0.527377	0.149506	0.204117	0.211861	0.196902	0	15
16	0.016452	0.016452	0.549867	0.83233	0.523883	0.409889	0.527765	0.149271	0.203835	0.211693	0.197098	0	16
17	0.056198	0.056198	0.550819	0.832549	0.523279	0.410003	0.530786	0.150403	0.204727	0.211787	0.197428	0	17
18	0.018962	1.225329	0.576627	0.825535	0.526807	0.446333	0.579185	0.145146	0.198503	0.2067	0.192919	1.84907	18
19	0.018962	0.018962	0.512913	0.825651	0.526644	0.435238	0.392964	0.14523	0.198479	0.206573	0.193167	0	19
20	0.044999	0.044999	0.541248	0.825675	0.527677	0.434369	0.479814	0.144947	0.198524	0.20663	0.192712	0	20
21	0.037165	1.250327	0.504264	0.821647	0.535482	0.442949	0.357178	0.150942	0.203917	0.212138	0.197247	0	21
22	0.037165	0.037165	0.566771	0.8229	0.535558	0.433736	0.555442	0.150588	0.203732	0.212015	0.196974	0.504592	22
23	0.038487	0.038487	0.569046	0.823504	0.535003	0.428037	0.567088	0.150759	0.203822	0.212226	0.197383	0.702016	23
24	0.033554	1.171618	0.481839	0.816815	0.540242	0.395612	0.326191	0.146248	0.201203	0.210356	0.197531	0	24
25	0.008744	0.033554	0.484953	0.816203	0.540695	0.407916	0.325757	0.146679	0.201435	0.210573	0.197695	0	25
