frame	n	Y	U	V	All
0	1	0.56619	0.8094	0.839448	0.652268
1	2	0.566267	0.80917	0.839457	0.652283
2	3	0.56623	0.809164	0.839452	0.652256
3	4	0.581264	0.807298	0.839238	0.661932
4	5	0.581065	0.807218	0.839211	0.661782
5	6	0.583351	0.807321	0.839525	0.663375
6	7	0.588834	0.806704	0.839147	0.666865
7	8	0.588882	0.806706	0.839136	0.666895
8	9	0.588686	0.806739	0.839106	0.666765
9	10	0.591264	0.807027	0.839286	0.668562
10	11	0.591295	0.807101	0.839322	0.6686
11	12	0.591345	0.807023	0.839296	0.668617
12	13	0.586487	0.805309	0.837338	0.664766
13	14	0.586863	0.805294	0.837372	0.66502
14	15	0.586778	0.805272	0.837363	0.664958
15	16	0.578644	0.803442	0.837396	0.659235
16	17	0.57859	0.803451	0.83733	0.65919
17	18	0.579239	0.803317	0.837347	0.659603
18	19	0.576174	0.802516	0.835977	0.657198
19	20	0.576211	0.802476	0.835945	0.657211
20	21	0.575943	0.802425	0.835893	0.657015
21	22	0.573977	0.802745	0.835894	0.655758
22	23	0.574072	0.80281	0.835942	0.65584
23	24	0.573994	0.802686	0.835938	0.655767
24	25	0.572213	0.801532	0.834817	0.6542
25	26	0.572349	0.801583	0.835	0.654329
26	27	0.57235	0.801595	0.835029	0.654338
27	28	0.585448	0.803758	0.837292	0.663807
28	29	0.585306	0.803765	0.837261	0.663708
29	30	0.586655	0.803904	0.837461	0.664664
30	31	0.591094	0.804595	0.83812	0.667849
31	32	0.59115	0.804552	0.838166	0.667886
32	33	0.590967	0.804616	0.838172	0.667776
33	34	0.590926	0.805208	0.839493	0.668068
34	35	0.590986	0.80524	0.839512	0.668116
35	36	0.591025	0.805125	0.839595	0.668137
36	37	0.588362	0.804922	0.838184	0.666092
37	38	0.58878	0.805023	0.838323	0.666411
38	39	0.588587	0.804989	0.838325	0.666277
39	40	0.578369	0.805963	0.839264	0.659784
40	41	0.578203	0.805884	0.839223	0.659653
41	42	0.578619	0.805866	0.839468	0.659968
42	43	0.57761	0.805202	0.839547	0.659198
43	44	0.577611	0.805184	0.839587	0.659203
44	45	0.577268	0.805143	0.839582	0.658966
45	46	0.574938	0.807781	0.840379	0.657985
46	47	0.574969	0.807821	0.840465	0.658027
47	48	0.574946	0.807746	0.840438	0.657995
48	49	0.578126	0.806935	0.83953	0.659828
49	50	0.578274	0.806908	0.839653	0.659943
50	51	0.57822	0.806889	0.839671	0.659906
51	52	0.592619	0.808786	0.84183	0.670182
52	53	0.59233	0.808809	0.841839	0.669995
53	54	0.593901	0.809017	0.842085	0.671118
54	55	0.599571	0.809174	0.843067	0.675088
55	56	0.599677	0.809194	0.8431	0.675167
56	57	0.599229	0.809171	0.843079	0.674861
57	58	0.599493	0.811044	0.845369	0.67573
58	59	0.599523	0.811086	0.845364	0.675757
59	60	0.599451	0.811015	0.845393	0.675702
60	61	0.595154	0.811028	0.845608	0.672876
61	62	0.595631	0.811107	0.845807	0.67324
62	63	0.595637	0.811103	0.845779	0.673238
63	64	0.586967	0.812082	0.846817	0.667794
64	65	0.586891	0.812027	0.846732	0.667721
65	66	0.587411	0.812052	0.846957	0.668109
66	67	0.584576	0.811333	0.846749	0.666065
67	68	0.584609	0.811274	0.846781	0.666082
68	69	0.584374	0.811404	0.84676	0.665943
69	70	0.582984	0.813626	0.848564	0.665688
70	71	0.582969	0.813707	0.84852	0.665684
71	72	0.583048	0.813626	0.848581	0.665733
72	73	0.585259	0.812747	0.847792	0.666929
73	74	0.585541	0.812752	0.847946	0.667144
74	75	0.585535	0.812847	0.847979	0.667161
75	76	0.598312	0.815543	0.849873	0.676444
76	77	0.598111	0.815529	0.849817	0.676298
77	78	0.599229	0.815696	0.85006	0.677112
78	79	0.603851	0.816368	0.850811	0.680431
79	80	0.603922	0.81641	0.850897	0.680499
80	81	0.60358	0.816344	0.850814	0.680246
81	82	0.600839	0.817575	0.852257	0.678865
82	83	0.60087	0.817624	0.852259	0.678894
83	84	0.600888	0.817417	0.85237	0.67889
84	85	0.599601	0.817093	0.851845	0.67789
85	86	0.599882	0.81706	0.851995	0.678097
86	87	0.599707	0.817	0.851943	0.677962
87	88	0.58937	0.817496	0.852852	0.671305
88	89	0.589268	0.817468	0.85289	0.671238
89	90	0.589703	0.817618	0.852969	0.671566
90	91	0.587896	0.817483	0.853229	0.670383
91	92	0.587944	0.817487	0.853183	0.670408
92	93	0.587643	0.817596	0.853223	0.670232
93	94	0.585805	0.8189	0.854427	0.669424
94	95	0.585833	0.818927	0.854404	0.669444
95	96	0.585857	0.818879	0.854382	0.669448
96	97	0.588046	0.818634	0.853057	0.670646
97	98	0.588289	0.818581	0.853335	0.670845
98	99	0.588278	0.818609	0.853316	0.67084
99	100	0.603375	0.819034	0.854461	0.681166
100	101	0.603193	0.819063	0.8544	0.681039
101	102	0.604474	0.819107	0.854654	0.681943
102	103	0.606739	0.818588	0.854573	0.683353
103	104	0.606775	0.818601	0.854592	0.683382
104	105	0.606516	0.818547	0.854566	0.683196
105	106	0.604604	0.818161	0.854225	0.6818
106	107	0.604582	0.818134	0.854213	0.681779
107	108	0.604732	0.81797	0.854223	0.681853
108	109	0.599236	0.816686	0.853036	0.677778
109	110	0.599443	0.81667	0.853123	0.677928
110	111	0.599345	0.816737	0.853105	0.677871
111	112	0.590325	0.817149	0.853324	0.671962
112	113	0.590238	0.81709	0.85322	0.671877
113	114	0.590674	0.817158	0.85355	0.672234
114	115	0.590095	0.816357	0.853407	0.67169
115	116	0.590111	0.816343	0.853423	0.671702
116	117	0.589855	0.816318	0.853407	0.671524
117	118	0.586842	0.817026	0.85405	0.669741
118	119	0.586894	0.817008	0.854051	0.669772
119	120	0.586757	0.816975	0.85407	0.669679
120	121	0.586232	0.81593	0.852928	0.668964
121	122	0.58646	0.815918	0.852984	0.669124
122	123	0.586392	0.815976	0.853013	0.669093
123	124	0.60108	0.816914	0.853845	0.67918
124	125	0.600865	0.816927	0.853741	0.679022
125	126	0.602271	0.816999	0.854006	0.680015
126	127	0.604148	0.816678	0.854042	0.681219
127	128	0.604216	0.816707	0.854066	0.681273
128	129	0.603893	0.816761	0.854016	0.681058
129	130	0.599688	0.816616	0.854416	0.678298
130	131	0.599703	0.816702	0.854438	0.678325
131	132	0.599837	0.816674	0.85438	0.6784
132	133	0.597322	0.81656	0.853203	0.676509
133	134	0.597564	0.816546	0.853356	0.676693
134	135	0.59747	0.816614	0.853398	0.676648
135	136	0.588947	0.816749	0.854191	0.671121
136	137	0.588892	0.816744	0.854194	0.671084
137	138	0.589346	0.816755	0.854299	0.671406
138	139	0.587917	0.817186	0.854378	0.670539
139	140	0.587912	0.817186	0.85438	0.670536
140	141	0.587613	0.817234	0.854374	0.670343
141	142	0.584869	0.817156	0.854578	0.668535
142	143	0.584895	0.817172	0.854556	0.668551
143	144	0.584895	0.817178	0.854686	0.668574
144	145	0.586926	0.816515	0.85304	0.669543
145	146	0.587338	0.816514	0.853285	0.669859
146	147	0.587285	0.816477	0.853255	0.669812
147	148	0.601484	0.817554	0.855204	0.679783
148	149	0.601249	0.817528	0.855152	0.679613
149	150	0.602612	0.817659	0.855336	0.680574
150	151	0.605382	0.817283	0.855109	0.68232
151	152	0.60541	0.817292	0.855115	0.682341
152	153	0.605081	0.817256	0.855179	0.682126
153	154	0.600788	0.818633	0.856208	0.679666
154	155	0.600838	0.818714	0.856254	0.67972
155	156	0.600705	0.818629	0.856297	0.679624
156	157	0.597656	0.818337	0.855016	0.677329
157	158	0.597968	0.818411	0.855147	0.677572
158	159	0.597925	0.818427	0.85519	0.677553
159	160	0.589717	0.818208	0.856255	0.672222
160	161	0.589593	0.81821	0.856247	0.672138
161	162	0.590105	0.818274	0.856433	0.672521
162	163	0.585904	0.817934	0.856722	0.669712
163	164	0.585927	0.817894	0.85665	0.669709
164	165	0.585709	0.817884	0.856501	0.669537
165	166	0.583453	0.819023	0.856946	0.668297
166	167	0.583481	0.819099	0.856955	0.66833
167	168	0.583395	0.819003	0.857083	0.668278
168	169	0.584279	0.819221	0.856145	0.668747
169	170	0.584581	0.819211	0.856354	0.668982
170	171	0.584519	0.819327	0.856378	0.668963
171	172	0.597334	0.820291	0.857822	0.677908
172	173	0.597113	0.820269	0.85782	0.677757
173	174	0.598494	0.82046	0.857962	0.678733
174	175	0.60119	0.820696	0.85806	0.680586
175	176	0.601232	0.820721	0.858093	0.680624
176	177	0.600863	0.820652	0.858104	0.680368
