frame	n	Y	U	V	All
0	1	0.627324	0.814376	0.854099	0.696295
1	2	0.627413	0.814185	0.854085	0.696321
2	3	0.627347	0.814177	0.854055	0.69627
3	4	0.6357	0.812677	0.853809	0.701548
4	5	0.635607	0.812572	0.853768	0.701461
5	6	0.637628	0.812578	0.85397	0.702843
6	7	0.639894	0.811179	0.853645	0.704067
7	8	0.639959	0.811136	0.85364	0.704102
8	9	0.639701	0.811125	0.853532	0.70391
9	10	0.641358	0.811322	0.853002	0.70496
10	11	0.641482	0.811393	0.852957	0.705047
11	12	0.641486	0.811325	0.852839	0.705018
12	13	0.641029	0.810023	0.851873	0.704335
13	14	0.64132	0.810061	0.852001	0.704557
14	15	0.641283	0.810054	0.851933	0.70452
15	16	0.636744	0.809388	0.851439	0.701301
16	17	0.636715	0.809364	0.851387	0.701269
17	18	0.637452	0.809218	0.851449	0.701746
18	19	0.638919	0.808316	0.850371	0.702394
19	20	0.638962	0.808324	0.850389	0.702427
20	21	0.638649	0.808336	0.85024	0.702195
21	22	0.635512	0.808124	0.850686	0.700143
22	23	0.635519	0.808122	0.850613	0.700135
23	24	0.63555	0.808052	0.85058	0.700139
24	25	0.635859	0.807961	0.849866	0.70021
25	26	0.63602	0.807915	0.849976	0.700328
26	27	0.635983	0.807901	0.849946	0.700297
27	28	0.640457	0.808947	0.850916	0.703615
28	29	0.640268	0.808959	0.850901	0.703488
29	30	0.641742	0.808933	0.851039	0.70449
30	31	0.64463	0.808484	0.851567	0.706428
31	32	0.64464	0.808472	0.851556	0.706432
32	33	0.64434	0.808499	0.851489	0.706225
33	34	0.643857	0.809088	0.851489	0.706001
34	35	0.643899	0.809054	0.851483	0.706022
35	36	0.644017	0.80886	0.851567	0.706083
36	37	0.643208	0.808303	0.850781	0.705319
37	38	0.643515	0.808382	0.850937	0.705563
38	39	0.643352	0.808365	0.850988	0.70546
39	40	0.634099	0.808509	0.851382	0.699381
40	41	0.633971	0.808505	0.851237	0.699271
41	42	0.634558	0.808501	0.851358	0.699682
42	43	0.639383	0.808765	0.851236	0.702922
43	44	0.639433	0.808728	0.851257	0.702952
44	45	0.639017	0.808737	0.851132	0.702656
45	46	0.636445	0.809437	0.851646	0.701144
46	47	0.636434	0.809432	0.851659	0.701138
47	48	0.636489	0.809444	0.851782	0.701197
48	49	0.637401	0.809303	0.851115	0.70167
49	50	0.637435	0.809294	0.851226	0.70171
50	51	0.637369	0.809291	0.851248	0.701669
51	52	0.638398	0.809354	0.851505	0.702409
52	53	0.638272	0.809296	0.851452	0.702306
53	54	0.63962	0.809364	0.851667	0.703252
54	55	0.648694	0.809924	0.852685	0.709564
55	56	0.648737	0.80991	0.852683	0.70959
56	57	0.648217	0.810047	0.852668	0.709264
57	58	0.647624	0.811152	0.854507	0.709359
58	59	0.647789	0.811173	0.85455	0.70948
59	60	0.647732	0.811196	0.854586	0.709452
60	61	0.646824	0.811073	0.854547	0.708819
61	62	0.647128	0.811152	0.854625	0.709048
62	63	0.647063	0.811155	0.85464	0.709008
63	64	0.640568	0.812163	0.855877	0.705052
64	65	0.640504	0.812124	0.855766	0.704985
65	66	0.640907	0.812159	0.85595	0.70529
66	67	0.641411	0.81189	0.85547	0.7055
67	68	0.641505	0.811868	0.855506	0.705566
68	69	0.641232	0.811904	0.855367	0.705366
69	70	0.641512	0.812898	0.856336	0.70588
70	71	0.641398	0.812922	0.856374	0.705815
71	72	0.641466	0.812852	0.856386	0.70585
72	73	0.641836	0.812393	0.855275	0.705835
73	74	0.642039	0.812417	0.855415	0.705998
74	75	0.642046	0.812492	0.855404	0.706013
75	76	0.649332	0.814762	0.857091	0.71153
76	77	0.649199	0.814773	0.857047	0.711436
77	78	0.650657	0.815002	0.857162	0.712465
78	79	0.654231	0.815327	0.857903	0.715026
79	80	0.654269	0.815442	0.857965	0.71508
80	81	0.654005	0.815437	0.857902	0.714893
81	82	0.654614	0.815745	0.858466	0.715444
82	83	0.654731	0.815802	0.858434	0.715526
83	84	0.654741	0.815706	0.858487	0.715526
84	85	0.655384	0.816054	0.858328	0.715986
85	86	0.655683	0.816122	0.858413	0.716211
86	87	0.655587	0.816083	0.858406	0.71614
87	88	0.645521	0.816148	0.858676	0.709484
88	89	0.64543	0.816197	0.858659	0.709429
89	90	0.645883	0.816325	0.858772	0.709772
90	91	0.647799	0.81627	0.858894	0.71106
91	92	0.647806	0.816251	0.858913	0.711065
92	93	0.647574	0.816368	0.858821	0.710914
93	94	0.648247	0.817271	0.859763	0.71167
94	95	0.648274	0.817347	0.859744	0.711698
95	96	0.648286	0.817297	0.859722	0.711694
96	97	0.648645	0.817754	0.859611	0.711991
97	98	0.648733	0.817761	0.859719	0.712068
98	99	0.648702	0.817782	0.859722	0.712052
99	100	0.650922	0.817842	0.859119	0.713442
100	101	0.650806	0.817826	0.859142	0.713365
101	102	0.652262	0.817877	0.859238	0.71436
102	103	0.656972	0.818028	0.859922	0.71764
103	104	0.657011	0.81796	0.859962	0.717661
104	105	0.656692	0.817957	0.859786	0.717418
105	106	0.655473	0.817347	0.859559	0.716466
106	107	0.655575	0.81744	0.859464	0.716534
107	108	0.655575	0.817298	0.85956	0.716527
108	109	0.655891	0.817044	0.85927	0.716646
109	110	0.656107	0.817132	0.859387	0.716824
110	111	0.656024	0.817157	0.859354	0.716768
111	112	0.649243	0.817262	0.85923	0.712244
112	113	0.649035	0.817292	0.859202	0.712106
113	114	0.649449	0.817421	0.859273	0.712415
114	115	0.651927	0.81697	0.85947	0.714025
115	116	0.651964	0.81693	0.859463	0.714041
116	117	0.651703	0.816886	0.859511	0.713868
117	118	0.649446	0.817691	0.859532	0.712501
118	119	0.649429	0.817697	0.859563	0.712496
119	120	0.649382	0.81771	0.859527	0.712461
120	121	0.650437	0.818266	0.859218	0.713206
121	122	0.650548	0.818312	0.859359	0.713311
122	123	0.650425	0.818295	0.859365	0.713226
123	124	0.653652	0.818483	0.859692	0.715464
124	125	0.653507	0.818497	0.859684	0.715368
125	126	0.655068	0.818616	0.859898	0.716464
126	127	0.659166	0.818928	0.860146	0.71929
127	128	0.659217	0.818897	0.860131	0.719316
128	129	0.658786	0.818873	0.859989	0.719001
129	130	0.65893	0.819459	0.860396	0.719262
130	131	0.659044	0.819514	0.860354	0.719341
131	132	0.65901	0.819405	0.860435	0.719313
132	133	0.657239	0.819715	0.860002	0.718112
133	134	0.657453	0.819731	0.860101	0.718274
134	135	0.657317	0.819758	0.860122	0.718192
135	136	0.649565	0.819936	0.860767	0.713161
136	137	0.649559	0.81991	0.860704	0.713142
137	138	0.650001	0.820048	0.860803	0.713476
138	139	0.653341	0.820257	0.860723	0.715724
139	140	0.653374	0.820276	0.860796	0.715761
140	141	0.653198	0.820359	0.860764	0.715652
141	142	0.65197	0.820138	0.860905	0.71482
142	143	0.652098	0.820128	0.86087	0.714898
143	144	0.652014	0.82015	0.860995	0.714867
144	145	0.652766	0.819957	0.859908	0.715155
145	146	0.653181	0.820011	0.859982	0.715453
146	147	0.653078	0.820021	0.859944	0.715379
147	148	0.654666	0.821184	0.86109	0.716823
148	149	0.654511	0.821149	0.861017	0.716702
149	150	0.655937	0.821257	0.861325	0.717722
150	151	0.659373	0.821167	0.861885	0.720091
151	152	0.659396	0.821176	0.861862	0.720103
152	153	0.658978	0.821095	0.861772	0.719796
153	154	0.659244	0.821975	0.862467	0.720236
154	155	0.659292	0.821958	0.862466	0.720266
155	156	0.659224	0.82197	0.862419	0.720214
156	157	0.659432	0.822371	0.861971	0.720345
157	158	0.659762	0.822438	0.862071	0.720593
158	159	0.65966	0.82241	0.862097	0.720525
159	160	0.651517	0.821637	0.862355	0.71501
160	161	0.651364	0.821633	0.862334	0.714904
161	162	0.65195	0.821655	0.862524	0.71533
162	163	0.655223	0.821975	0.862235	0.717517
163	164	0.655256	0.82196	0.862192	0.717529
164	165	0.655018	0.821916	0.862182	0.717362
165	166	0.65502	0.823037	0.863618	0.717789
166	167	0.655009	0.822951	0.863613	0.717767
167	168	0.65498	0.822939	0.863587	0.717741
168	169	0.654945	0.822959	0.863448	0.717698
169	170	0.655088	0.822949	0.863642	0.717824
170	171	0.655018	0.823021	0.863684	0.717796
171	172	0.657249	0.823239	0.864098	0.719389
172	173	0.656993	0.82322	0.864086	0.719213
173	174	0.658537	0.823271	0.86422	0.720273
174	175	0.661217	0.823075	0.863735	0.721946
175	176	0.661345	0.823004	0.863732	0.722019
176	177	0.660852	0.822968	0.863687	0.721677
177	178	0.660578	0.823082	0.864163	0.721593
178	179	0.660564	0.823087	0.864052	0.721566
179	180	0.660664	0.823035	0.8641	0.721632
180	181	0.658012	0.82256	0.863381	0.719664
181	182	0.658089	0.822665	0.863494	0.719752
182	183	0.657915	0.822697	0.863472	0.719638
183	184	0.649747	0.822463	0.863708	0.714193
184	185	0.649578	0.822421	0.863769	0.714084
185	186	0.650249	0.82253	0.863815	0.714557
186	187	0.657351	0.823257	0.864424	0.719514
187	188	0.657342	0.823231	0.864477	0.719513
188	189	0.657071	0.823108	0.864404	0.719299
189	190	0.65282	0.82284	0.864287	0.716401
190	191	0.652796	0.822771	0.864315	0.716379
191	192	0.652824	0.822768	0.864419	0.716414
192	193	0.653452	0.823047	0.864026	0.716813
193	194	0.653582	0.823002	0.864169	0.716916
194	195	0.653537	0.82295	0.864208	0.716884
195	196	0.656995	0.823825	0.864513	0.719386
196	197	0.656905	0.823843	0.864441	0.719317
197	198	0.658193	0.823934	0.864565	0.720212
198	199	0.662004	0.824619	0.865131	0.722961
199	200	0.662034	0.82457	0.865167	0.722979
200	201	0.661667	0.824536	0.865113	0.722719
201	202	0.661551	0.82471	0.865845	0.722793
202	203	0.661558	0.82472	0.865828	0.722797
203	204	0.661479	0.824659	0.865878	0.722742
204	205	0.659132	0.824123	0.864279	0.720822
205	206	0.659386	0.824239	0.864498	0.721047
206	207	0.659302	0.82423	0.864469	0.720984
207	208	0.655443	0.825358	0.866218	0.718891
208	209	0.655282	0.825326	0.866195	0.718775
209	210	0.655794	0.82539	0.866353	0.719153
210	211	0.656791	0.82539	0.865267	0.719637
211	212	0.656807	0.825425	0.865286	0.719656
212	213	0.656491	0.825411	0.8651	0.719413
213	214	0.654678	0.826087	0.866262	0.71851
214	215	0.654666	0.826085	0.866229	0.718496
215	216	0.654734	0.826098	0.866251	0.718547
216	217	0.654508	0.8259	0.864999	0.718155
217	218	0.654563	0.825847	0.865126	0.718204
218	219	0.654528	0.825825	0.865059	0.718166
219	220	0.657319	0.826877	0.865939	0.720349
220	221	0.657379	0.826792	0.86584	0.720358
221	222	0.657876	0.826802	0.865934	0.720707
222	223	0.663769	0.826111	0.866325	0.724585
223	224	0.663775	0.826114	0.866245	0.724577
224	225	0.664212	0.82608	0.866328	0.724876
225	226	0.661221	0.826252	0.866254	0.722898
226	227	0.661331	0.826279	0.86628	0.722981
227	228	0.66125	0.826251	0.866168	0.722903
228	229	0.663789	0.826037	0.866067	0.724544
229	230	0.66383	0.826059	0.86622	0.7246
230	231	0.663757	0.826114	0.866221	0.724561
231	232	0.657476	0.826682	0.866659	0.720541
232	233	0.657751	0.826789	0.866768	0.72076
233	234	0.657976	0.826782	0.866805	0.720915
234	235	0.660566	0.82707	0.866818	0.722692
235	236	0.660554	0.827016	0.866757	0.722665
236	237	0.660704	0.827092	0.866785	0.722782
237	238	0.657148	0.82733	0.8672	0.72052
238	239	0.657211	0.827391	0.867202	0.720573
239	240	0.657071	0.827362	0.867161	0.720468
240	241	0.657408	0.826936	0.866945	0.720585
241	242	0.6574	0.82697	0.867055	0.720604
242	243	0.657405	0.82696	0.867052	0.720606
243	244	0.658197	0.827859	0.867358	0.721334
244	245	0.65901	0.827999	0.867394	0.721905
245	246	0.659614	0.827963	0.867551	0.722328
246	247	0.66736	0.827241	0.867489	0.727362
247	248	0.667247	0.827168	0.867499	0.727276
248	249	0.66764	0.827337	0.86761	0.727585
249	250	0.665297	0.827666	0.867616	0.726078
250	251	0.662006	0.826926	0.86753	0.723747
251	252	0.661854	0.826891	0.867499	0.723634
252	253	0.663848	0.826484	0.866967	0.724807
253	254	0.663875	0.826509	0.866951	0.724827
254	255	0.663866	0.82649	0.866968	0.72482
255	256	0.657062	0.826703	0.867076	0.720338
256	257	0.657281	0.826741	0.867134	0.7205
257	258	0.657254	0.826684	0.86715	0.720475
258	259	0.660199	0.826522	0.867117	0.722406
259	260	0.660104	0.826547	0.867165	0.722355
260	261	0.660148	0.826601	0.867161	0.722392
261	262	0.654646	0.826917	0.867295	0.7188
262	263	0.65455	0.826785	0.867275	0.71871
263	264	0.654699	0.826867	0.867229	0.718815
264	265	0.656614	0.826868	0.866719	0.720007
265	266	0.656675	0.826823	0.866805	0.720055
266	267	0.656578	0.826786	0.866749	0.719975
267	268	0.661502	0.827312	0.866887	0.723368
268	269	0.662293	0.827433	0.867047	0.723942
269	270	0.662496	0.827484	0.867026	0.724083
270	271	0.664363	0.8276	0.867279	0.725389
271	272	0.66452	0.827633	0.867386	0.725517
272	273	0.665224	0.827635	0.867539	0.726012
273	274	0.661227	0.827192	0.867485	0.723264
