frame	n	Y	U	V	All
0	1	0.652312	0.809055	0.84105	0.709892
1	2	0.652432	0.808864	0.841199	0.709965
2	3	0.65238	0.808895	0.841185	0.709933
3	4	0.660989	0.80778	0.840655	0.715398
4	5	0.660837	0.807745	0.84065	0.715291
5	6	0.663036	0.807817	0.840683	0.716774
6	7	0.665505	0.807226	0.840247	0.718249
7	8	0.665581	0.807197	0.840245	0.718294
8	9	0.665333	0.807252	0.840192	0.718129
9	10	0.668756	0.807683	0.840172	0.72048
10	11	0.668791	0.807754	0.840185	0.720517
11	12	0.668899	0.807725	0.840225	0.720591
12	13	0.666456	0.805142	0.836361	0.717887
13	14	0.666757	0.805139	0.836479	0.718107
14	15	0.666679	0.805138	0.836452	0.718051
15	16	0.662802	0.805481	0.837654	0.715724
16	17	0.66276	0.80545	0.837552	0.715673
17	18	0.663254	0.805522	0.837476	0.716002
18	19	0.664114	0.80463	0.83677	0.716309
19	20	0.664138	0.804612	0.83679	0.716326
20	21	0.6639	0.804568	0.836721	0.716148
21	22	0.662564	0.804736	0.837258	0.715375
22	23	0.662579	0.804748	0.837301	0.715394
23	24	0.662495	0.804756	0.837332	0.715345
24	25	0.660896	0.803599	0.836068	0.713875
25	26	0.661004	0.803686	0.836125	0.713971
26	27	0.660949	0.803702	0.836115	0.713935
27	28	0.665157	0.805466	0.837396	0.717248
28	29	0.665007	0.805461	0.837364	0.717142
29	30	0.666247	0.805569	0.837621	0.71803
30	31	0.669863	0.805088	0.835936	0.720079
31	32	0.669901	0.805077	0.835933	0.720102
32	33	0.669666	0.805026	0.835922	0.719935
33	34	0.669665	0.805553	0.837481	0.720283
34	35	0.669702	0.805502	0.83738	0.720282
35	36	0.669761	0.805518	0.837511	0.720346
36	37	0.667919	0.804626	0.835489	0.718632
37	38	0.66813	0.804725	0.835656	0.718817
38	39	0.66785	0.804729	0.835636	0.718628
39	40	0.660074	0.8051	0.837002	0.713733
40	41	0.659922	0.805064	0.83693	0.713614
41	42	0.660361	0.805115	0.837118	0.713946
42	43	0.663616	0.8052	0.836241	0.715984
43	44	0.663624	0.8052	0.836285	0.715997
44	45	0.663263	0.805196	0.836221	0.715744
45	46	0.662779	0.806111	0.837408	0.715773
46	47	0.662795	0.806261	0.837513	0.715825
47	48	0.662833	0.806242	0.837524	0.71585
48	49	0.661502	0.805542	0.83596	0.714585
49	50	0.661653	0.805612	0.83609	0.714719
50	51	0.661645	0.8056	0.836096	0.714712
51	52	0.666281	0.806424	0.837106	0.718109
52	53	0.666031	0.806402	0.837029	0.717926
53	54	0.667394	0.806424	0.837205	0.718867
54	55	0.673231	0.806139	0.837346	0.722735
55	56	0.673347	0.806218	0.837335	0.722824
56	57	0.672716	0.806131	0.837231	0.722371
57	58	0.672164	0.807545	0.839562	0.722627
58	59	0.672267	0.807668	0.839582	0.722719
59	60	0.672257	0.807702	0.839601	0.722722
60	61	0.666095	0.805587	0.837969	0.717989
61	62	0.666414	0.805642	0.838074	0.718229
62	63	0.66628	0.805612	0.838101	0.718139
63	64	0.663132	0.807591	0.840006	0.716688
64	65	0.663016	0.807517	0.839904	0.716581
