frame	n	Y	U	V	All
0	1	0.590291	0.832912	0.88221	0.679381
1	2	0.590404	0.832761	0.882103	0.679414
2	3	0.590343	0.832739	0.882097	0.679368
3	4	0.598526	0.831236	0.881572	0.684485
4	5	0.598388	0.831261	0.881529	0.68439
5	6	0.600316	0.831382	0.881564	0.685702
6	7	0.606699	0.831282	0.881379	0.689909
7	8	0.606775	0.831253	0.881385	0.689957
8	9	0.606465	0.831199	0.881365	0.689737
9	10	0.608905	0.830757	0.880861	0.691207
10	11	0.609027	0.830767	0.880849	0.691288
11	12	0.609103	0.8308	0.880843	0.691343
12	13	0.608873	0.829037	0.877983	0.690419
13	14	0.609261	0.829005	0.878101	0.690691
14	15	0.609156	0.828976	0.878152	0.690625
15	16	0.6004	0.830624	0.880216	0.685407
16	17	0.600317	0.830596	0.880174	0.68534
17	18	0.600967	0.830698	0.880308	0.685812
18	19	0.605594	0.830359	0.877592	0.688388
19	20	0.605625	0.830379	0.877602	0.688413
20	21	0.605181	0.830233	0.877579	0.68809
21	22	0.602635	0.831113	0.878936	0.686765
22	23	0.602718	0.831188	0.878937	0.686833
23	24	0.60266	0.831193	0.87891	0.686791
24	25	0.603276	0.829458	0.876542	0.686517
25	26	0.60341	0.829489	0.876691	0.686637
26	27	0.603247	0.829474	0.876717	0.68653
27	28	0.608038	0.832688	0.879903	0.690791
28	29	0.6079	0.832735	0.879932	0.690711
29	30	0.60915	0.832902	0.880096	0.6916
30	31	0.614885	0.833222	0.879778	0.695423
31	32	0.614962	0.833194	0.879812	0.695476
32	33	0.614601	0.833216	0.879826	0.695241
33	34	0.613941	0.834526	0.879501	0.694965
34	35	0.614006	0.834399	0.879507	0.694988
35	36	0.614025	0.83446	0.879515	0.695013
36	37	0.613462	0.833491	0.877199	0.69409
37	38	0.613447	0.833515	0.877309	0.694102
38	39	0.613185	0.833533	0.877308	0.69393
39	40	0.599121	0.833176	0.877787	0.684574
40	41	0.598989	0.833122	0.877718	0.684466
41	42	0.599338	0.833164	0.877705	0.684704
42	43	0.604847	0.832503	0.875497	0.687898
43	44	0.604859	0.832513	0.875494	0.687907
44	45	0.604376	0.832577	0.875442	0.687587
45	46	0.601779	0.833166	0.877361	0.686274
46	47	0.601792	0.833291	0.877328	0.686298
47	48	0.601777	0.833311	0.87732	0.68629
48	49	0.600928	0.83222	0.874489	0.68507
49	50	0.600999	0.832216	0.874649	0.685144
50	51	0.600952	0.832225	0.874644	0.685113
51	52	0.605379	0.832955	0.877925	0.688733
52	53	0.605177	0.832952	0.877918	0.688596
53	54	0.606554	0.832971	0.877945	0.689522
54	55	0.612048	0.83342	0.878239	0.693308
55	56	0.612127	0.833449	0.878202	0.69336
56	57	0.611688	0.833458	0.878211	0.69307
57	58	0.610875	0.835187	0.880743	0.693238
58	59	0.611039	0.835227	0.880806	0.693365
59	60	0.611015	0.835155	0.880771	0.693331
60	61	0.610732	0.835184	0.881538	0.693275
61	62	0.611027	0.835356	0.881527	0.693499
62	63	0.610893	0.835384	0.881492	0.693408
63	64	0.602405	0.834904	0.881989	0.687752
64	65	0.602286	0.834825	0.881957	0.687654
65	66	0.602786	0.83497	0.882091	0.688035
66	67	0.605163	0.833969	0.879783	0.689067
67	68	0.605231	0.833948	0.879818	0.689115
68	69	0.605081	0.833841	0.879698	0.688977
69	70	0.605224	0.835303	0.882581	0.689797
70	71	0.605247	0.835361	0.882466	0.689803
71	72	0.605309	0.835313	0.882474	0.689837
72	73	0.608531	0.834046	0.881691	0.691644
73	74	0.608642	0.834069	0.881808	0.691741
74	75	0.608519	0.834136	0.881793	0.691668
75	76	0.614517	0.835228	0.882981	0.696046
76	77	0.614364	0.835206	0.882973	0.695939
77	78	0.615556	0.835369	0.883057	0.696775
78	79	0.620725	0.834469	0.882056	0.699904
79	80	0.620762	0.834482	0.882108	0.69994
80	81	0.620293	0.834371	0.882017	0.699593
81	82	0.619163	0.835664	0.884014	0.699388
82	83	0.619204	0.835669	0.883961	0.699408
83	84	0.619216	0.835678	0.883977	0.69942
84	85	0.619236	0.834364	0.88152	0.698805
85	86	0.619309	0.834443	0.881618	0.698883
86	87	0.619085	0.834388	0.881556	0.698714
87	88	0.605539	0.834727	0.883131	0.690002
88	89	0.605434	0.83469	0.883136	0.689927
89	90	0.605813	0.83472	0.883244	0.690203
90	91	0.612084	0.833877	0.882314	0.694088
91	92	0.61211	0.83387	0.8823	0.694101
92	93	0.611542	0.833891	0.882209	0.693711
93	94	0.609393	0.835211	0.883272	0.692676
94	95	0.60954	0.83518	0.883243	0.692764
95	96	0.609491	0.835098	0.883197	0.69271
96	97	0.610159	0.834656	0.882408	0.69295
97	98	0.61019	0.834656	0.882501	0.692986
98	99	0.610059	0.834676	0.882483	0.692899
99	100	0.61188	0.835149	0.882671	0.694223
100	101	0.611789	0.835123	0.88267	0.694158
101	102	0.612731	0.835204	0.882848	0.69483
102	103	0.616857	0.834597	0.882722	0.697458
103	104	0.616917	0.834609	0.882754	0.697505
104	105	0.616558	0.834653	0.882658	0.697257
105	106	0.615007	0.834359	0.882913	0.696216
106	107	0.615064	0.834396	0.882837	0.696248
107	108	0.615061	0.834344	0.882896	0.696247
108	109	0.614898	0.832489	0.880125	0.695368
109	110	0.615187	0.83256	0.880119	0.695571
110	111	0.615114	0.83261	0.880121	0.695531
111	112	0.606518	0.833704	0.882179	0.690326
112	113	0.606376	0.833685	0.882133	0.69022
113	114	0.60675	0.833776	0.882235	0.690502
114	115	0.609787	0.833403	0.880676	0.692205
115	116	0.609789	0.83341	0.880731	0.692216
116	117	0.609525	0.833284	0.880611	0.691999
117	118	0.605577	0.832942	0.881619	0.689478
118	119	0.605628	0.832951	0.881621	0.689514
119	120	0.605653	0.833016	0.881587	0.689536
120	121	0.606064	0.832765	0.881296	0.689719
121	122	0.606256	0.832802	0.881453	0.68988
122	123	0.606086	0.832828	0.881454	0.689771
123	124	0.608954	0.833296	0.882306	0.691903
124	125	0.608757	0.833218	0.882294	0.691756
125	126	0.610123	0.833409	0.882409	0.692718
126	127	0.615696	0.833775	0.882465	0.696504
127	128	0.615765	0.833742	0.882503	0.696551
128	129	0.615232	0.833749	0.882393	0.696178
129	130	0.615806	0.833931	0.883077	0.696705
130	131	0.615966	0.834076	0.883128	0.696845
131	132	0.615983	0.833934	0.883085	0.696825
132	133	0.614186	0.833641	0.882979	0.69556
133	134	0.614303	0.833672	0.883037	0.695653
134	135	0.614107	0.833758	0.883027	0.695535
135	136	0.600895	0.833642	0.883018	0.686707
136	137	0.600859	0.833639	0.882925	0.686667
137	138	0.601291	0.833769	0.883054	0.686998
138	139	0.607849	0.833477	0.883213	0.691348
139	140	0.607889	0.833458	0.883226	0.691374
140	141	0.607478	0.833511	0.883223	0.691108
141	142	0.605244	0.833272	0.883446	0.689615
142	143	0.605302	0.833281	0.883397	0.689648
143	144	0.605223	0.833225	0.883356	0.689579
144	145	0.606315	0.832356	0.881991	0.689935
145	146	0.606612	0.832545	0.882119	0.690186
146	147	0.606418	0.832604	0.882048	0.690054
147	148	0.611234	0.833975	0.883863	0.693796
148	149	0.611072	0.833967	0.883855	0.693685
149	150	0.612447	0.83413	0.884075	0.694665
150	151	0.616758	0.833854	0.883812	0.697449
151	152	0.616858	0.833915	0.883805	0.697525
152	153	0.6165	0.83383	0.883764	0.697266
153	154	0.613572	0.834565	0.885022	0.695646
154	155	0.613579	0.834623	0.885135	0.695679
155	156	0.613793	0.834555	0.885173	0.695817
156	157	0.612114	0.834067	0.883839	0.694393
157	158	0.612558	0.834205	0.883979	0.694736
158	159	0.612353	0.834209	0.883978	0.6946
159	160	0.604531	0.834288	0.884808	0.689537
160	161	0.604418	0.834308	0.884825	0.689467
161	162	0.605027	0.834384	0.884992	0.689914
162	163	0.610864	0.834703	0.884892	0.693842
163	164	0.610886	0.834655	0.884873	0.693846
164	165	0.610642	0.834653	0.884723	0.693657
165	166	0.60623	0.835189	0.885364	0.690913
166	167	0.606321	0.835121	0.885394	0.690967
167	168	0.606277	0.835116	0.885301	0.690921
168	169	0.607726	0.834732	0.884388	0.691671
169	170	0.607834	0.834753	0.884499	0.691765
170	171	0.607729	0.834801	0.884561	0.691713
171	172	0.609032	0.835543	0.885422	0.692848
172	173	0.60883	0.835556	0.885427	0.692717
173	174	0.610173	0.835762	0.885654	0.693684
174	175	0.617934	0.835537	0.885339	0.698769
175	176	0.61803	0.835542	0.885345	0.698835
176	177	0.617412	0.835515	0.885357	0.69842
177	178	0.617802	0.835785	0.885404	0.698733
178	179	0.617787	0.835835	0.885435	0.698736
179	180	0.617798	0.835822	0.885397	0.698735
180	181	0.618521	0.834594	0.884026	0.698784
181	182	0.618747	0.834685	0.884138	0.698969
182	183	0.618498	0.834743	0.884154	0.698815
183	184	0.609063	0.834694	0.884295	0.69254
184	185	0.608968	0.834656	0.884332	0.692477
185	186	0.609347	0.834714	0.884263	0.692727
186	187	0.61482	0.83422	0.883633	0.696189
187	188	0.614827	0.834214	0.883633	0.696193
188	189	0.614417	0.834177	0.883526	0.695895
189	190	0.61019	0.834064	0.884305	0.693188
190	191	0.610337	0.83417	0.884288	0.693301
191	192	0.610266	0.834016	0.884308	0.693232
192	193	0.611408	0.833411	0.883356	0.693733
193	194	0.611486	0.833523	0.883526	0.693833
194	195	0.611496	0.833553	0.883547	0.693847
195	196	0.614617	0.835141	0.884862	0.696412
196	197	0.614509	0.835198	0.884814	0.696341
197	198	0.616121	0.835404	0.88499	0.69748
198	199	0.621329	0.835231	0.885916	0.701077
199	200	0.621363	0.835193	0.885965	0.701102
200	201	0.620785	0.835251	0.88592	0.700718
201	202	0.616896	0.836058	0.886363	0.698335
202	203	0.616982	0.836013	0.886381	0.698387
203	204	0.617063	0.835969	0.886363	0.698431
204	205	0.618157	0.834877	0.884547	0.698675
205	206	0.61851	0.834937	0.884716	0.698949
206	207	0.618398	0.834916	0.884716	0.698871
207	208	0.611042	0.835536	0.886277	0.69433
208	209	0.610909	0.835536	0.886259	0.694238
209	210	0.611313	0.835585	0.886391	0.694538
210	211	0.615326	0.836356	0.886193	0.697309
211	212	0.615362	0.836353	0.886187	0.697331
212	213	0.615138	0.836398	0.886091	0.697173
213	214	0.612246	0.836399	0.886664	0.695341
214	215	0.612268	0.836379	0.886743	0.695366
215	216	0.612249	0.836411	0.886754	0.69536
216	217	0.612162	0.835981	0.885178	0.694968
217	218	0.612236	0.835884	0.885194	0.695003
218	219	0.612183	0.835898	0.885177	0.694968
219	220	0.615902	0.836427	0.885898	0.697655
220	221	0.615968	0.8364	0.885869	0.69769
221	222	0.616468	0.836419	0.885937	0.698038
222	223	0.623221	0.835702	0.885819	0.702401
223	224	0.6232	0.835732	0.885797	0.702388
224	225	0.623511	0.83561	0.885844	0.702583
225	226	0.623234	0.836457	0.885934	0.702554
226	227	0.623318	0.836562	0.885936	0.702629
227	228	0.623241	0.836417	0.885824	0.702534
228	229	0.625311	0.835873	0.885355	0.703745
229	230	0.625478	0.835842	0.885372	0.703855
230	231	0.625284	0.835911	0.885316	0.703727
231	232	0.614239	0.834677	0.885841	0.696246
232	233	0.61462	0.834677	0.885989	0.696524
233	234	0.615053	0.834694	0.885929	0.696806
234	235	0.618263	0.834563	0.885289	0.698817
235	236	0.618258	0.834546	0.885283	0.69881
236	237	0.618239	0.834546	0.885309	0.698802
237	238	0.614109	0.835314	0.885569	0.69622
238	239	0.614196	0.835315	0.885517	0.696269
239	240	0.614066	0.835314	0.885449	0.696171
240	241	0.614803	0.834414	0.885248	0.696479
241	242	0.614772	0.834426	0.885352	0.696478
242	243	0.614632	0.834473	0.885371	0.696395
243	244	0.618676	0.834751	0.885923	0.69923
244	245	0.619278	0.834864	0.885978	0.699659
245	246	0.619983	0.834834	0.886025	0.700132
246	247	0.624122	0.833605	0.885723	0.702636
247	248	0.624097	0.833582	0.885776	0.702624
248	249	0.624414	0.833593	0.885818	0.702845
249	250	0.621735	0.834437	0.885977	0.701226
250	251	0.617114	0.834855	0.886463	0.698296
251	252	0.617124	0.834871	0.886399	0.698294
252	253	0.620108	0.833298	0.884927	0.699776
253	254	0.620143	0.833242	0.884931	0.699791
254	255	0.620089	0.833249	0.884925	0.699755
255	256	0.610887	0.833642	0.885268	0.693743
256	257	0.611119	0.833634	0.885445	0.693926
257	258	0.611151	0.833654	0.885452	0.693951
258	259	0.612571	0.832743	0.885288	0.694719
259	260	0.612674	0.832754	0.885355	0.694801
260	261	0.612484	0.832847	0.885395	0.694696
261	262	0.606063	0.833578	0.885391	0.690537
262	263	0.606005	0.833561	0.885416	0.6905
263	264	0.606165	0.833478	0.885297	0.690572
264	265	0.608967	0.833352	0.884674	0.692316
265	266	0.608989	0.833295	0.884664	0.692319
266	267	0.608842	0.833326	0.884572	0.692211
267	268	0.617698	0.834289	0.885867	0.698491
268	269	0.618359	0.834379	0.885978	0.698965
269	270	0.618529	0.834357	0.885988	0.699077
270	271	0.621772	0.833872	0.885825	0.701131
271	272	0.622028	0.833856	0.885932	0.701317
272	273	0.622475	0.833853	0.886091	0.701641
273	274	0.614558	0.83378	0.88632	0.696389
274	275	0.614524	0.833762	0.886266	0.696354
275	276	0.6148	0.833739	0.886228	0.696528
276	277	0.617794	0.833313	0.885486	0.698329
277	278	0.617825	0.833333	0.885454	0.698348
278	279	0.617561	0.833264	0.885411	0.698154
279	280	0.611908	0.833939	0.886142	0.694619
280	281	0.612081	0.834071	0.886169	0.694761
281	282	0.612156	0.83402	0.886158	0.6948
282	283	0.61168	0.832123	0.885077	0.693986
283	284	0.611806	0.832119	0.885149	0.694082
284	285	0.611806	0.832163	0.885197	0.694098
285	286	0.605019	0.833067	0.886162	0.689884
286	287	0.605057	0.83309	0.886205	0.689921
287	288	0.605353	0.833149	0.886233	0.690132
288	289	0.608516	0.832746	0.885892	0.692117
289	290	0.608532	0.832714	0.885922	0.692128
290	291	0.608497	0.832725	0.885865	0.692096
291	292	0.620719	0.834374	0.887123	0.700729
292	293	0.621283	0.834503	0.887311	0.701158
293	294	0.621397	0.834476	0.88733	0.701232
294	295	0.623878	0.833367	0.887357	0.702706
295	296	0.623873	0.833493	0.887467	0.702742
296	297	0.624474	0.833574	0.88752	0.703165
297	298	0.618381	0.834025	0.887287	0.69914
298	299	0.618333	0.834029	0.887276	0.699106
299	300	0.618532	0.83405	0.887256	0.699239
300	301	0.624373	0.834125	0.886939	0.703093
301	302	0.624339	0.834082	0.88694	0.703063
302	303	0.624152	0.834074	0.886772	0.702909
303	304	0.616325	0.834468	0.88685	0.697769
304	305	0.616737	0.834523	0.88696	0.698072
305	306	0.616688	0.834497	0.886879	0.698021
306	307	0.618249	0.833917	0.885244	0.698693
307	308	0.618398	0.833974	0.8853	0.698811
308	309	0.618483	0.834028	0.88546	0.698904
309	310	0.61177	0.834006	0.886356	0.694573
310	311	0.611812	0.833943	0.886364	0.694593
311	312	0.612139	0.834011	0.8864	0.694828
312	313	0.614292	0.834291	0.885893	0.696225
313	314	0.614324	0.834318	0.885859	0.696245
314	315	0.614116	0.83435	0.885771	0.696098
315	316	0.621364	0.835558	0.887275	0.701382
316	317	0.621858	0.835709	0.887425	0.701761
317	318	0.622022	0.835753	0.887501	0.70189
318	319	0.621847	0.834978	0.887125	0.701582
319	320	0.62188	0.834965	0.887144	0.701605
320	321	0.622416	0.835024	0.887207	0.701982
321	322	0.61517	0.835453	0.88735	0.697247
322	323	0.615166	0.83547	0.887368	0.69725
323	324	0.615252	0.835454	0.887387	0.697308
324	325	0.617917	0.834545	0.887315	0.698921
325	326	0.617827	0.834515	0.887398	0.69887
326	327	0.617616	0.834595	0.887354	0.698735
327	328	0.608108	0.834555	0.887361	0.692392
328	329	0.608505	0.834636	0.887468	0.692687
329	330	0.608456	0.83468	0.887392	0.692649
330	331	0.605903	0.834204	0.885961	0.69063
331	332	0.60587	0.834223	0.885993	0.690616
332	333	0.605828	0.834181	0.886065	0.690593
333	334	0.597275	0.834452	0.886401	0.684992
334	335	0.597218	0.834403	0.886348	0.684937
335	336	0.597393	0.834455	0.886409	0.685073
336	337	0.600834	0.833956	0.88587	0.687194
337	338	0.600864	0.83404	0.885982	0.687246
338	339	0.600699	0.834035	0.885914	0.687124
339	340	0.604497	0.834315	0.886242	0.689757
340	341	0.605036	0.834391	0.886387	0.690154
341	342	0.605073	0.834421	0.886397	0.690185
342	343	0.603805	0.833879	0.885354	0.689075
343	344	0.604083	0.834032	0.885479	0.689307
344	345	0.604687	0.834207	0.885571	0.689754
345	346	0.600206	0.834606	0.887113	0.68709
346	347	0.600212	0.834593	0.887101	0.687091
347	348	0.600455	0.83449	0.886995	0.687217
348	349	0.60263	0.835057	0.886646	0.688704
349	350	0.602627	0.834965	0.886721	0.688699
350	351	0.602379	0.834935	0.886698	0.688525
351	352	0.590855	0.834992	0.886483	0.680816
352	353	0.591063	0.835115	0.886533	0.680983
353	354	0.590954	0.835089	0.886497	0.6809
354	355	0.593941	0.834798	0.885838	0.682734
355	356	0.59404	0.834827	0.885895	0.682814
356	357	0.593995	0.834946	0.885932	0.682809
357	358	0.588258	0.835376	0.886163	0.679095
358	359	0.588199	0.835342	0.886184	0.679054
359	360	0.588633	0.835291	0.886068	0.679315
360	361	0.592503	0.835047	0.885214	0.681712
361	362	0.592639	0.835001	0.885225	0.681797
362	363	0.591576	0.835449	0.885386	0.68119
