frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.380411	0.829533	0.506697	0.281719	0.234737	0.081326	0.132863	0.134703	0.112362	0	0
1	0.009991	0.025894	0.379771	0.829324	0.504218	0.28185	0.234261	0.081503	0.132907	0.134605	0.112837	0	1
2	0.009991	0.009991	0.376218	0.829526	0.504281	0.281705	0.225891	0.081443	0.13295	0.134754	0.113084	0	2
3	0.023893	0.801584	0.368234	0.832267	0.506234	0.292817	0.19281	0.085664	0.136815	0.137297	0.113845	0	3
4	0.023893	0.023893	0.370607	0.832434	0.504677	0.302596	0.192828	0.085256	0.136663	0.136906	0.113684	0	4
5	0.137034	0.137034	0.37335	0.833389	0.505298	0.297522	0.201935	0.087742	0.137988	0.137757	0.114282	0	5
6	0.017375	0.712018	0.369275	0.841004	0.493879	0.298271	0.190425	0.090758	0.142356	0.140428	0.116758	0	6
7	0.017375	0.017375	0.364202	0.841318	0.493233	0.280183	0.19019	0.090997	0.142375	0.140647	0.11689	0	7
8	0.045556	0.045556	0.370519	0.841255	0.493745	0.301474	0.191429	0.090071	0.141982	0.139883	0.116509	0	8
9	0.035619	0.687702	0.395522	0.847355	0.512279	0.316771	0.233999	0.093478	0.145654	0.142622	0.117507	0	9
10	0.035619	0.035619	0.395326	0.847145	0.512959	0.31727	0.232951	0.093412	0.145604	0.142845	0.117581	0	10
11	0.048831	0.048831	0.398335	0.846548	0.51232	0.317952	0.240389	0.093578	0.145623	0.14253	0.117351	0	11
12	0.072005	0.785124	0.371863	0.836995	0.490385	0.302948	0.193756	0.089977	0.143685	0.141768	0.118681	0	12
13	0.022218	0.072005	0.383162	0.837646	0.491771	0.302539	0.221436	0.090495	0.144026	0.141867	0.118822	0	13
14	0.022218	0.022218	0.384607	0.837101	0.492286	0.301948	0.225411	0.090364	0.143744	0.141803	0.118435	0	14
