frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.409839	0.844557	0.536493	0.313078	0.267776	0.096416	0.165387	0.177285	0.15929	0	0
1	0.009991	0.025894	0.40732	0.84452	0.539006	0.305687	0.265318	0.096499	0.165153	0.176739	0.159634	0	1
2	0.009991	0.009991	0.409666	0.844349	0.537654	0.309439	0.269189	0.096362	0.165012	0.176888	0.159889	0	2
3	0.023893	0.801584	0.401753	0.84756	0.542345	0.291199	0.25414	0.101373	0.169256	0.179864	0.161669	0	3
4	0.023893	0.023893	0.401389	0.847459	0.540209	0.291093	0.254201	0.101031	0.169172	0.179951	0.162025	0	4
5	0.137034	0.137034	0.407529	0.847861	0.541549	0.302949	0.260654	0.103547	0.170496	0.180968	0.162491	0	5
6	0.017375	0.712018	0.432005	0.858452	0.518355	0.342757	0.298694	0.107191	0.175491	0.184819	0.166912	0	6
7	0.017375	0.017375	0.432456	0.85864	0.519841	0.343783	0.298447	0.107395	0.175651	0.184801	0.16704	0	7
8	0.045556	0.045556	0.43174	0.85855	0.518128	0.342884	0.298109	0.106349	0.17482	0.183717	0.166964	0	8
9	0.035619	0.687702	0.438687	0.860161	0.519437	0.300015	0.344346	0.109317	0.177921	0.186005	0.167963	0	9
10	0.035619	0.035619	0.438367	0.860419	0.518488	0.299335	0.34433	0.109192	0.177886	0.186213	0.167243	0	10
11	0.048831	0.048831	0.441293	0.860494	0.518051	0.30659	0.346826	0.10932	0.177832	0.186001	0.167862	0	11
12	0.072005	0.785124	0.42037	0.846912	0.519293	0.303695	0.297904	0.105986	0.1768	0.185459	0.16841	0	12
13	0.022218	0.072005	0.418641	0.847321	0.524141	0.284362	0.304411	0.106593	0.177132	0.185701	0.168589	0	13
14	0.022218	0.022218	0.418045	0.846846	0.518463	0.286173	0.304405	0.106624	0.177043	0.18607	0.168803	0	14
15	0.02096	0.910197	0.418362	0.851898	0.530312	0.299697	0.28714	0.105313	0.175078	0.184915	0.16811	0	15
16	0.02096	0.02096	0.418418	0.852168	0.532304	0.298456	0.287223	0.105077	0.175199	0.184503	0.167454	0	16
17	0.083454	0.083454	0.413283	0.852309	0.524539	0.281917	0.288767	0.106085	0.175639	0.18499	0.167847	0	17
18	0.019466	0.79681	0.427552	0.850439	0.52173	0.288151	0.32031	0.108028	0.177665	0.187414	0.171021	0	18
19	0.019466	0.019466	0.429206	0.850779	0.522977	0.290166	0.322406	0.108054	0.177735	0.187606	0.170994	0	19
20	0.046556	0.046556	0.428974	0.850666	0.522917	0.29144	0.320948	0.107152	0.177345	0.187954	0.170725	0	20
21	0.030508	0.792108	0.420422	0.851728	0.513486	0.295236	0.297767	0.106066	0.176629	0.187047	0.169801	0	21
22	0.030508	0.030508	0.421221	0.851899	0.515891	0.2963	0.297851	0.106098	0.1768	0.186724	0.170492	0	22
23	0.041521	0.041521	0.418391	0.852216	0.511904	0.293139	0.29455	0.106246	0.176833	0.187587	0.169582	0	23
24	0.035277	0.80899	0.453256	0.851377	0.511042	0.296624	0.385465	0.101852	0.174882	0.185823	0.168611	0	24
25	0.012165	0.035277	0.452272	0.851406	0.50932	0.295497	0.384561	0.102045	0.174602	0.185419	0.168593	0	25
26	0.012165	0.012165	0.453465	0.852631	0.511737	0.297301	0.384603	0.101879	0.174639	0.185315	0.168507	0	26
27	0.022479	1.249969	0.414624	0.859215	0.524276	0.27521	0.291762	0.107775	0.177136	0.185698	0.167784	0	27
28	0.022479	0.022479	0.415799	0.860001	0.524589	0.273808	0.295789	0.107525	0.1769	0.185893	0.16746	0	28
29	0.09985	0.09985	0.422539	0.858802	0.523195	0.27603	0.314492	0.109255	0.177821	0.186319	0.168388	0	29
30	0.017536	0.836721	0.445954	0.851488	0.540787	0.294717	0.358839	0.110804	0.180274	0.188246	0.170396	0	30
31	0.017536	0.017536	0.445036	0.851586	0.541108	0.291037	0.359443	0.110797	0.180271	0.188054	0.17058	0	31
32	0.043231	0.043231	0.445984	0.851933	0.540789	0.294377	0.359033	0.110439	0.180321	0.188679	0.169889	0	32
33	0.037649	0.860708	0.436509	0.851633	0.532234	0.278626	0.345575	0.110292	0.18122	0.188839	0.169423	0	33
34	0.037649	0.037649	0.439918	0.85143	0.535044	0.278237	0.354406	0.110242	0.181154	0.188779	0.169049	0	34
35	0.04919	0.04919	0.461584	0.851044	0.541716	0.287217	0.406035	0.110388	0.181187	0.188701	0.169313	0	35
36	0.07376	0.838086	0.452131	0.847764	0.551451	0.285882	0.371475	0.108607	0.181713	0.19018	0.171532	0	36
37	0.024851	0.07376	0.452581	0.847088	0.551789	0.28761	0.3714	0.109128	0.181577	0.189937	0.170788	0	37
38	0.024851	0.024851	0.448344	0.846806	0.552155	0.285803	0.360625	0.108937	0.181588	0.189576	0.17031	0	38
39	0.022064	0.948145	0.447304	0.855364	0.520281	0.29711	0.36011	0.102028	0.172765	0.182796	0.164658	0	39
40	0.022064	0.022064	0.446855	0.854686	0.519654	0.295919	0.3603	0.10183	0.17242	0.182644	0.164521	0	40
41	0.069402	0.069402	0.443325	0.855007	0.514136	0.291126	0.357536	0.102413	0.172954	0.182437	0.165171	0	41
42	0.023279	0.866466	0.434012	0.843415	0.502829	0.320297	0.31005	0.105715	0.1767	0.186247	0.167967	0	42
43	0.023279	0.023279	0.433834	0.843519	0.500853	0.319814	0.311179	0.105726	0.176582	0.186485	0.168064	0	43
44	0.055185	0.055185	0.434907	0.843854	0.501877	0.316237	0.316249	0.104747	0.176374	0.186191	0.167147	0	44
45	0.029825	0.837637	0.41973	0.845984	0.515131	0.282822	0.296343	0.105635	0.176666	0.187455	0.168101	0	45
46	0.029148	0.029825	0.428236	0.846193	0.515395	0.283583	0.319387	0.105571	0.176498	0.187069	0.168367	0	46
47	0.029148	0.029148	0.429599	0.846193	0.515267	0.285266	0.321876	0.10569	0.176751	0.186886	0.169344	0	47
48	0.042083	0.832117	0.426008	0.838837	0.503569	0.305244	0.302704	0.103457	0.176494	0.187026	0.1689	0	48
49	0.015301	0.042083	0.431896	0.839111	0.504249	0.325541	0.3023	0.103667	0.176331	0.186489	0.168744	0	49
50	0.015301	0.015301	0.430138	0.83895	0.504701	0.319422	0.3022	0.10358	0.176171	0.186707	0.168941	0	50
51	0.025278	1.285838	0.439141	0.860705	0.525583	0.319321	0.314657	0.106269	0.175028	0.183035	0.164916	0	51
52	0.025278	0.025278	0.448287	0.860231	0.523875	0.320652	0.33898	0.105722	0.174666	0.182777	0.164525	0	52
53	0.113026	0.113026	0.456131	0.863982	0.53485	0.315988	0.35604	0.107512	0.175719	0.183445	0.165049	0	53
54	0.029584	0.832878	0.453711	0.873889	0.51826	0.376656	0.311007	0.111271	0.180102	0.186689	0.167811	0	54
55	0.029584	0.029584	0.45076	0.87424	0.523471	0.376321	0.300999	0.111327	0.180011	0.186705	0.168136	0	55
56	0.068672	0.068672	0.454582	0.873868	0.524774	0.377825	0.309322	0.110069	0.179393	0.186127	0.168924	0	56
57	0.034694	1.203327	0.443398	0.873521	0.558568	0.374961	0.274491	0.111403	0.178354	0.184426	0.167446	0	57
58	0.034694	0.034694	0.443371	0.873097	0.556919	0.37541	0.275041	0.111337	0.178176	0.184379	0.167001	0	58
59	0.045277	0.045277	0.439719	0.87355	0.553888	0.349351	0.284133	0.111367	0.177974	0.184476	0.16697	0	59
60	0.078209	1.967291	0.488564	0.879602	0.60372	0.384314	0.3622	0.106028	0.175431	0.18321	0.164313	0	60
61	0.028588	0.078209	0.484054	0.878434	0.603055	0.364339	0.36468	0.106786	0.175267	0.182196	0.164769	0	61
62	0.028588	0.028588	0.483255	0.878543	0.598428	0.364086	0.364704	0.106554	0.175161	0.182499	0.164778	0	62
63	0.02346	0.897584	0.439924	0.854922	0.577895	0.349924	0.278661	0.102141	0.171124	0.180319	0.162112	0	63
64	0.02346	0.02346	0.441478	0.855148	0.58054	0.360817	0.274548	0.101885	0.171124	0.18015	0.162059	0	64
65	0.06329	0.06329	0.440468	0.858242	0.58203	0.367057	0.266459	0.102808	0.171691	0.180674	0.162358	0	65
66	0.017997	0.991046	0.440233	0.847672	0.574413	0.354436	0.276293	0.102479	0.170847	0.180613	0.164798	0	66
67	0.017997	0.017997	0.474991	0.84687	0.574213	0.35113	0.363364	0.102634	0.170688	0.180318	0.164414	0	67
68	0.044917	0.044917	0.44072	0.847463	0.57271	0.35613	0.277027	0.102125	0.170598	0.18047	0.163905	0	68
69	0.023927	1.031299	0.443337	0.852392	0.548878	0.389094	0.270822	0.104468	0.173176	0.182088	0.164204	0	69
70	0.023927	0.023927	0.446385	0.852451	0.549128	0.393266	0.27565	0.104508	0.173477	0.182505	0.164863	0	70
71	0.029352	0.029352	0.451699	0.852363	0.549057	0.385899	0.293007	0.104648	0.173444	0.182447	0.164556	0	71
72	0.04858	0.960799	0.469624	0.851704	0.537854	0.374586	0.347132	0.103157	0.172803	0.182126	0.163978	0	72
73	0.016372	0.04858	0.448484	0.851374	0.545486	0.374759	0.292355	0.103778	0.172906	0.181689	0.164744	0	73
74	0.016372	0.016372	0.452228	0.851601	0.545724	0.377459	0.299632	0.103779	0.172813	0.181467	0.163687	0	74
75	0.025154	1.332442	0.465524	0.866991	0.565158	0.397899	0.309727	0.107533	0.17269	0.18048	0.163128	0	75
76	0.025154	0.025154	0.465403	0.866848	0.5642	0.39793	0.309861	0.107266	0.172687	0.180552	0.163142	0	76
77	0.077195	0.077195	0.458074	0.865284	0.570745	0.366391	0.308487	0.108764	0.173071	0.180704	0.163102	0	77
78	0.018724	0.989596	0.448483	0.862851	0.56489	0.380522	0.278745	0.110602	0.175655	0.183387	0.165207	0	78
79	0.018724	0.018724	0.445692	0.862911	0.563928	0.371042	0.277855	0.110574	0.175478	0.18309	0.164561	0	79
80	0.054109	0.054109	0.460573	0.863266	0.559207	0.373411	0.313885	0.109622	0.175094	0.183343	0.164523	0	80
81	0.033802	0.872009	0.460087	0.863857	0.568063	0.407007	0.290491	0.111497	0.174392	0.182496	0.163352	0	81
82	0.033802	0.033802	0.451667	0.863713	0.565765	0.399804	0.275642	0.111524	0.174689	0.182673	0.163228	0	82
83	0.053625	0.053625	0.442658	0.863316	0.574624	0.358471	0.273914	0.111779	0.17447	0.18271	0.162987	0	83
84	0.067662	0.933203	0.445064	0.855982	0.567211	0.371348	0.275593	0.10663	0.172378	0.181098	0.163736	0	84
85	0.025932	0.067662	0.448015	0.856394	0.563909	0.386101	0.275778	0.107153	0.172713	0.180962	0.164407	0	85
86	0.025932	0.025932	0.448003	0.855736	0.572241	0.379904	0.275864	0.106912	0.172533	0.18086	0.163943	0	86
87	0.016055	0.987758	0.45533	0.858863	0.564952	0.412887	0.278569	0.102106	0.169017	0.178768	0.161222	0	87
88	0.016055	0.016055	0.456171	0.858951	0.56329	0.415557	0.279785	0.101908	0.168765	0.178466	0.16065	0	88
89	0.066823	0.066823	0.46357	0.85869	0.572103	0.439662	0.280548	0.102591	0.168983	0.178624	0.160931	0	89
90	0.02156	1.037698	0.449536	0.850571	0.558288	0.372581	0.290197	0.103945	0.170721	0.180921	0.163757	0	90
91	0.02156	0.02156	0.451813	0.850554	0.558948	0.367918	0.297845	0.103897	0.170657	0.180856	0.16439	0	91
92	0.053196	0.053196	0.449484	0.850247	0.556631	0.366997	0.293752	0.103021	0.170527	0.180696	0.16431	0	92
93	0.019614	1.023192	0.482178	0.855783	0.566395	0.434002	0.330153	0.105031	0.173388	0.182049	0.163693	0	93
94	0.019614	0.019614	0.485396	0.856126	0.565959	0.438048	0.335568	0.104841	0.173238	0.182029	0.163701	0	94
95	0.040216	0.040216	0.48457	0.855646	0.567849	0.432173	0.336296	0.105126	0.173337	0.182207	0.163714	0	95
96	0.045326	0.871726	0.468197	0.850346	0.578524	0.372643	0.325769	0.102225	0.172584	0.182171	0.164295	0	96
97	0.017591	0.045326	0.465391	0.850402	0.57699	0.380022	0.31584	0.102885	0.172439	0.18212	0.163939	0	97
98	0.017591	0.017591	0.465083	0.850826	0.576185	0.378125	0.316314	0.102808	0.17251	0.181544	0.164098	0	98
99	0.020208	1.209214	0.488086	0.858797	0.588708	0.371447	0.372024	0.10716	0.173016	0.180568	0.162354	0	99
100	0.020208	0.020208	0.489759	0.858367	0.584393	0.371712	0.377716	0.106917	0.172871	0.180303	0.161884	0	100
101	0.089257	0.089257	0.485778	0.859684	0.581792	0.368663	0.370853	0.108593	0.17342	0.180648	0.162875	0	101
102	0.020304	0.899194	0.45324	0.855905	0.583053	0.374781	0.292848	0.111256	0.177732	0.184111	0.165732	0	102
103	0.020304	0.020304	0.453296	0.856014	0.583994	0.374695	0.292679	0.111519	0.178017	0.184517	0.16582	0	103
104	0.047832	0.047832	0.454036	0.856187	0.590894	0.372358	0.29293	0.110832	0.177454	0.183805	0.166247	0	104
105	0.036442	0.831007	0.457936	0.860237	0.580347	0.376564	0.303728	0.111178	0.177528	0.184318	0.166007	0	105
106	0.036442	0.036442	0.458369	0.860327	0.578671	0.380521	0.30323	0.111274	0.177764	0.18453	0.166848	0	106
107	0.048252	0.048252	0.457116	0.861054	0.580202	0.382792	0.298195	0.111478	0.17791	0.184995	0.166088	0	107
108	0.068742	0.897821	0.469548	0.85552	0.571197	0.402715	0.32123	0.108358	0.176503	0.182925	0.166506	0	108
109	0.022993	0.068742	0.504704	0.855902	0.58946	0.40287	0.394817	0.108909	0.176677	0.183561	0.165517	0	109
110	0.022993	0.022993	0.503025	0.856592	0.57323	0.405133	0.396062	0.108703	0.176449	0.183351	0.166262	0	110
111	0.023236	0.906197	0.45076	0.857036	0.577813	0.379196	0.289277	0.104646	0.173348	0.181098	0.164652	0	111
112	0.023236	0.023236	0.451146	0.856992	0.577692	0.380668	0.289461	0.104499	0.173584	0.181001	0.163999	0	112
113	0.077141	0.077141	0.455749	0.857036	0.578121	0.375418	0.302877	0.10528	0.173965	0.181101	0.16423	0	113
114	0.02056	0.903273	0.493844	0.85013	0.573383	0.431981	0.363593	0.108191	0.177633	0.185741	0.169491	0	114
115	0.02056	0.02056	0.490852	0.849623	0.574097	0.424077	0.360803	0.108341	0.177923	0.185524	0.168764	0	115
116	0.049719	0.049719	0.487427	0.850346	0.574308	0.403909	0.363417	0.107763	0.178067	0.185662	0.16973	0	116
117	0.03176	0.926817	0.468797	0.861277	0.566593	0.423728	0.312167	0.105598	0.175767	0.182885	0.166401	0	117
118	0.03176	0.03176	0.47618	0.861403	0.569835	0.439729	0.319252	0.105395	0.175838	0.183155	0.166211	0	118
119	0.035027	0.035027	0.472228	0.861128	0.566365	0.429337	0.317211	0.105655	0.17596	0.182967	0.16604	0	119
120	0.051439	0.877374	0.455206	0.859145	0.565026	0.425414	0.28171	0.103564	0.174827	0.182384	0.167269	0	120
121	0.01788	0.051439	0.452961	0.859331	0.565352	0.41889	0.279838	0.103958	0.174802	0.182078	0.1683	0	121
122	0.01788	0.01788	0.448977	0.859559	0.564968	0.403939	0.278724	0.103703	0.174446	0.181513	0.167612	0	122
123	0.0252	1.126606	0.503365	0.873265	0.593985	0.388365	0.399999	0.105164	0.172518	0.179431	0.165187	0	123
124	0.0252	0.0252	0.50068	0.873044	0.593746	0.388857	0.393885	0.104857	0.172305	0.17938	0.165004	0	124
125	0.101258	0.101258	0.462438	0.873792	0.591862	0.384566	0.310854	0.106751	0.173785	0.180244	0.165315	0	125
126	0.024458	0.804561	0.473786	0.874907	0.612866	0.412789	0.312055	0.108226	0.177012	0.183283	0.166075	0	126
127	0.024458	0.024458	0.474011	0.874943	0.618255	0.411072	0.31136	0.108351	0.177059	0.183328	0.167039	0	127
128	0.064529	0.064529	0.472226	0.870632	0.615751	0.405623	0.312559	0.107322	0.176968	0.183254	0.167108	0	128
129	0.032571	0.774909	0.47567	0.875626	0.61841	0.434181	0.301552	0.109761	0.178232	0.183579	0.166556	0	129
130	0.032571	0.032571	0.472575	0.875504	0.617682	0.432557	0.295765	0.109747	0.178217	0.183557	0.166032	0	130
131	0.04972	0.04972	0.470312	0.875076	0.605365	0.419291	0.302455	0.109877	0.178151	0.18359	0.166123	0	131
132	0.077697	0.872197	0.480469	0.866654	0.597583	0.423541	0.326849	0.104154	0.174291	0.181445	0.166136	0	132
133	0.02629	0.077697	0.490376	0.866792	0.604967	0.453595	0.330948	0.10438	0.174212	0.181283	0.166257	0	133
134	0.02629	0.02629	0.491036	0.865878	0.60006	0.459144	0.331795	0.104194	0.174145	0.181152	0.166348	0	134
135	0.01709	0.956506	0.448673	0.874017	0.579907	0.405276	0.270021	0.099846	0.169057	0.176832	0.162132	0	135
136	0.01709	0.01709	0.445279	0.873959	0.580606	0.392414	0.268751	0.099585	0.16901	0.176807	0.161811	0	136
137	0.069081	0.069081	0.446624	0.874482	0.577506	0.404302	0.266745	0.100281	0.16958	0.177123	0.16304	0	137
138	0.017461	0.845851	0.450771	0.865651	0.57758	0.419258	0.267511	0.103116	0.173705	0.1808	0.166209	0	138
139	0.017461	0.017461	0.449775	0.865718	0.577679	0.419428	0.265088	0.103087	0.173771	0.180513	0.167339	0	139
140	0.049022	0.049022	0.448892	0.866044	0.578458	0.41465	0.264985	0.102269	0.173276	0.180447	0.165832	0	140
141	0.033305	0.844303	0.476108	0.870291	0.59028	0.427761	0.316715	0.105063	0.176236	0.183152	0.169358	0	141
142	0.031491	0.033305	0.474557	0.870174	0.587859	0.4231	0.316636	0.104892	0.176241	0.182971	0.168935	0	142
143	0.031491	0.031491	0.468407	0.870609	0.569553	0.398515	0.322667	0.105061	0.17638	0.182837	0.169265	0	143
144	0.058178	0.90833	0.496453	0.870727	0.588044	0.419876	0.366999	0.100608	0.172348	0.180142	0.165831	0	144
145	0.022869	0.058178	0.498709	0.871774	0.589503	0.417691	0.372441	0.101457	0.17261	0.180425	0.166297	0	145
146	0.022869	0.022869	0.499989	0.870195	0.588636	0.424686	0.372687	0.101366	0.172478	0.180018	0.16637	0	146
147	0.022326	1.126834	0.445068	0.880808	0.595939	0.454905	0.231513	0.105934	0.174396	0.18122	0.166443	0	147
148	0.022326	0.022326	0.439699	0.880533	0.594989	0.412229	0.241591	0.105522	0.174199	0.181138	0.166409	0	148
149	0.091637	0.091637	0.444376	0.882226	0.609101	0.417436	0.243558	0.107104	0.174838	0.181977	0.165961	0	149
150	0.028612	0.771393	0.437525	0.86634	0.589434	0.414811	0.239211	0.108934	0.177961	0.183773	0.168667	0	150
151	0.028612	0.028612	0.440285	0.865565	0.584315	0.423582	0.243239	0.108976	0.178042	0.184218	0.168411	0	151
152	0.062343	0.062343	0.449003	0.866592	0.583417	0.480881	0.233836	0.108132	0.177809	0.183782	0.168769	0	152
153	0.038595	0.754415	0.464116	0.874106	0.594433	0.416079	0.295354	0.109471	0.177819	0.18611	0.169212	0	153
154	0.038595	0.038595	0.464852	0.873754	0.593354	0.415841	0.297647	0.109217	0.177649	0.185574	0.169139	0	154
155	0.049946	0.049946	0.463988	0.874481	0.594707	0.411141	0.297404	0.109663	0.178155	0.185585	0.169711	0	155
156	0.080849	0.848215	0.45632	0.855732	0.595553	0.460914	0.257167	0.103966	0.175096	0.18364	0.167389	0	156
157	0.025895	0.080849	0.465366	0.8578	0.594854	0.473385	0.270865	0.104722	0.175116	0.183084	0.167758	0	157
