frame	integer_motion2	integer_motion	integer_adm2	integer_adm_scale0	integer_adm_scale1	integer_adm_scale2	integer_adm_scale3	integer_vif_scale0	integer_vif_scale1	integer_vif_scale2	integer_vif_scale3	vmaf
0	0	0	0.4056	0.849198	0.563904	0.317846	0.242127	0.085813	0.149075	0.155779	0.137882	0	0
1	0.009991	0.025894	0.404246	0.849383	0.561095	0.314938	0.2418	0.085969	0.149019	0.155611	0.138232	0	1
2	0.009991	0.009991	0.404738	0.849452	0.564684	0.314644	0.24165	0.085875	0.149036	0.155622	0.138323	0	2
3	0.023893	0.801584	0.40667	0.853461	0.546196	0.308249	0.251413	0.090291	0.153073	0.15883	0.140429	0	3
4	0.023893	0.023893	0.405199	0.853181	0.542244	0.307873	0.2498	0.089954	0.152906	0.158382	0.140221	0	4
5	0.137034	0.137034	0.40644	0.854172	0.541559	0.307654	0.252753	0.09257	0.154464	0.159375	0.141255	0	5
6	0.017375	0.712018	0.406278	0.860268	0.519014	0.301776	0.261486	0.09578	0.159	0.162552	0.144661	0	6
7	0.017375	0.017375	0.40574	0.860292	0.517715	0.300824	0.261413	0.096	0.159032	0.162686	0.144474	0	7
8	0.045556	0.045556	0.405718	0.860548	0.517502	0.299929	0.262003	0.095006	0.158568	0.161955	0.144198	0	8
9	0.035619	0.687702	0.40429	0.863838	0.531632	0.298768	0.253289	0.099152	0.162744	0.165522	0.145673	0	9
10	0.035619	0.035619	0.41269	0.863838	0.536015	0.29923	0.271827	0.099159	0.16278	0.165775	0.14549	0	10
11	0.048831	0.048831	0.405049	0.863559	0.537886	0.299171	0.252166	0.099392	0.162903	0.165631	0.145722	0	11
12	0.072005	0.785124	0.403241	0.853121	0.525974	0.314836	0.242153	0.095607	0.161417	0.165427	0.14703	0	12
13	0.022218	0.072005	0.405081	0.853415	0.530783	0.315206	0.244226	0.096312	0.161556	0.165244	0.14668	0	13
14	0.022218	0.022218	0.405479	0.853322	0.527564	0.321023	0.242731	0.09627	0.161315	0.165414	0.146934	0	14
15	0.02096	0.910197	0.406736	0.856856	0.529115	0.302489	0.254097	0.093074	0.157397	0.162672	0.144614	0	15
16	0.02096	0.02096	0.407216	0.85688	0.529979	0.303644	0.254178	0.092984	0.15762	0.162739	0.144631	0	16
17	0.083454	0.083454	0.406606	0.857054	0.528535	0.296816	0.257298	0.093838	0.158083	0.1632	0.144661	0	17
18	0.019466	0.79681	0.413935	0.855972	0.544744	0.290858	0.26937	0.095607	0.159645	0.164124	0.1466	0	18
19	0.019466	0.019466	0.414515	0.855889	0.542732	0.293546	0.269876	0.095597	0.159571	0.164319	0.146919	0	19
20	0.046556	0.046556	0.413363	0.855793	0.543423	0.291128	0.268389	0.094661	0.159003	0.164231	0.146283	0	20
21	0.030508	0.792108	0.420117	0.855634	0.547135	0.285428	0.28624	0.094321	0.15951	0.165523	0.147887	0	21
22	0.030508	0.030508	0.42061	0.855828	0.547161	0.288801	0.284885	0.094327	0.159441	0.165307	0.147879	0	22
23	0.041521	0.041521	0.431757	0.855681	0.547974	0.304754	0.301948	0.094565	0.159669	0.165418	0.14711	0	23
24	0.035277	0.80899	0.426611	0.854016	0.524806	0.306813	0.295521	0.091046	0.15754	0.16334	0.146127	0	24
25	0.012165	0.035277	0.426	0.854115	0.524316	0.304668	0.295804	0.091358	0.157503	0.163314	0.146093	0	25
26	0.012165	0.012165	0.422166	0.854147	0.524981	0.289885	0.296996	0.091146	0.157485	0.163234	0.146046	0	26
27	0.022479	1.249969	0.43072	0.864759	0.537081	0.265362	0.337363	0.095576	0.159806	0.164027	0.145941	0	27
28	0.022479	0.022479	0.433637	0.864074	0.540652	0.269686	0.340154	0.095261	0.159778	0.164296	0.146206	0	28
29	0.09985	0.09985	0.435033	0.865994	0.534108	0.279157	0.338487	0.09691	0.160585	0.164533	0.146648	0	29
30	0.017536	0.836721	0.428091	0.857708	0.568348	0.260184	0.322545	0.098339	0.162563	0.166151	0.148252	0	30
31	0.017536	0.017536	0.424413	0.85733	0.571209	0.260172	0.310535	0.098347	0.162668	0.166138	0.148557	0	31
32	0.043231	0.043231	0.45519	0.85773	0.567423	0.256644	0.405236	0.097988	0.162567	0.166263	0.148116	0	32
33	0.037649	0.860708	0.441895	0.858444	0.550611	0.293154	0.334707	0.099161	0.163809	0.165749	0.147047	0	33
34	0.037649	0.037649	0.441262	0.859172	0.55037	0.293406	0.332284	0.09904	0.163591	0.16569	0.146857	0	34
35	0.04919	0.04919	0.442701	0.859118	0.552521	0.28773	0.340639	0.099125	0.163573	0.165692	0.146985	0	35
36	0.07376	0.838086	0.423079	0.853175	0.535824	0.262309	0.314326	0.098045	0.164541	0.167426	0.1488	0	36
37	0.024851	0.07376	0.427681	0.853114	0.541248	0.261169	0.326015	0.098388	0.164306	0.167319	0.148755	0	37
38	0.024851	0.024851	0.430114	0.853013	0.535992	0.271009	0.32695	0.098184	0.164247	0.167321	0.148265	0	38
39	0.022064	0.948145	0.413874	0.86378	0.51918	0.271333	0.283735	0.090625	0.15529	0.160332	0.142873	0	39
40	0.022064	0.022064	0.413517	0.863143	0.517673	0.271375	0.283504	0.090434	0.155197	0.160234	0.14266	0	40
41	0.069402	0.069402	0.41323	0.863704	0.514305	0.272558	0.283552	0.091138	0.155569	0.160605	0.143313	0	41
42	0.023279	0.866466	0.415512	0.850841	0.513641	0.275158	0.28668	0.094637	0.159115	0.163631	0.144268	0	42
43	0.023279	0.023279	0.418802	0.85107	0.532785	0.274305	0.286306	0.094721	0.159047	0.163733	0.144493	0	43
44	0.055185	0.055185	0.416191	0.850874	0.514803	0.276012	0.286946	0.093689	0.158731	0.163217	0.144679	0	44
45	0.029825	0.837637	0.425069	0.85121	0.517992	0.281655	0.308478	0.09454	0.158514	0.163456	0.143946	0	45
46	0.029148	0.029825	0.423436	0.851325	0.517635	0.28105	0.304561	0.094463	0.158533	0.163301	0.143983	0	46
47	0.029148	0.029148	0.422907	0.851269	0.516619	0.280368	0.304208	0.094626	0.15868	0.163184	0.14412	0	47
48	0.042083	0.832117	0.425328	0.842217	0.508087	0.287189	0.311332	0.092893	0.158192	0.163388	0.14452	0	48
49	0.015301	0.042083	0.425155	0.842369	0.508556	0.291727	0.306896	0.09324	0.158294	0.163226	0.145012	0	49
50	0.015301	0.015301	0.423237	0.842388	0.507297	0.28851	0.304888	0.093159	0.1582	0.163066	0.145148	0	50
51	0.025278	1.285838	0.432404	0.870136	0.542051	0.312743	0.289784	0.095227	0.159475	0.162469	0.142652	0	51
52	0.025278	0.025278	0.442661	0.869871	0.538619	0.310669	0.320334	0.094721	0.159318	0.162031	0.142409	0	52
53	0.113026	0.113026	0.430688	0.87101	0.534023	0.309824	0.29117	0.096264	0.160258	0.162877	0.142525	0	53
54	0.029584	0.832878	0.42967	0.879338	0.530236	0.328361	0.275	0.100561	0.16526	0.166435	0.145751	0	54
55	0.029584	0.029584	0.429055	0.879038	0.527023	0.328052	0.275272	0.100569	0.16499	0.166448	0.145826	0	55
56	0.068672	0.068672	0.432572	0.879231	0.529256	0.327681	0.283457	0.099522	0.164767	0.165708	0.14615	0	56
57	0.034694	1.203327	0.443975	0.879116	0.559686	0.376366	0.272391	0.102019	0.167392	0.169422	0.148307	0	57
58	0.034694	0.034694	0.442001	0.879191	0.56021	0.375665	0.267739	0.10221	0.167608	0.169791	0.148285	0	58
59	0.045277	0.045277	0.442657	0.879356	0.56369	0.374292	0.268644	0.102292	0.1677	0.169789	0.148221	0	59
60	0.078209	1.967291	0.436822	0.879039	0.605116	0.323253	0.275613	0.098694	0.167693	0.171831	0.150737	0	60
61	0.028588	0.078209	0.427556	0.879062	0.60098	0.327426	0.251952	0.099753	0.168021	0.171782	0.151494	0	61
62	0.028588	0.028588	0.42399	0.878716	0.602974	0.313023	0.25181	0.09957	0.167874	0.171739	0.151163	0	62
63	0.02346	0.897584	0.43686	0.862296	0.579014	0.366893	0.257556	0.096469	0.166917	0.172205	0.15142	0	63
64	0.02346	0.02346	0.436895	0.86305	0.578502	0.366711	0.257704	0.096199	0.166877	0.172098	0.151374	0	64
65	0.06329	0.06329	0.436112	0.864112	0.578806	0.366372	0.255476	0.097107	0.167239	0.172657	0.151662	0	65
66	0.017997	0.991046	0.430953	0.856344	0.578577	0.366052	0.24134	0.097257	0.166845	0.173187	0.153752	0	66
67	0.017997	0.017997	0.430848	0.85607	0.577801	0.365979	0.241434	0.09755	0.166989	0.173207	0.154126	0	67
68	0.044917	0.044917	0.435214	0.855925	0.577985	0.371245	0.248722	0.096863	0.166896	0.173354	0.154051	0	68
69	0.023927	1.031299	0.426015	0.854839	0.567001	0.359026	0.237772	0.101389	0.170086	0.176206	0.155413	0	69
